Percentage served,Time in ms
0,18.658
1,18.901
2,18.976
3,19.017
4,19.059
5,19.099
6,19.131
7,19.158
8,19.183
9,19.211
10,19.239
11,19.271
12,19.293
13,19.316
14,19.335
15,19.354
16,19.372
17,19.392
18,19.412
19,19.430
20,19.448
21,19.466
22,19.481
23,19.502
24,19.516
25,19.533
26,19.549
27,19.570
28,19.586
29,19.607
30,19.624
31,19.644
32,19.662
33,19.679
34,19.700
35,19.719
36,19.746
37,19.769
38,19.792
39,19.821
40,19.847
41,19.880
42,19.911
43,19.942
44,19.983
45,20.035
46,20.081
47,20.144
48,20.234
49,20.313
50,20.387
51,20.441
52,20.481
53,20.512
54,20.542
55,20.573
56,20.599
57,20.624
58,20.650
59,20.674
60,20.697
61,20.719
62,20.744
63,20.765
64,20.787
65,20.811
66,20.827
67,20.848
68,20.868
69,20.888
70,20.909
71,20.927
72,20.950
73,20.968
74,20.989
75,21.009
76,21.029
77,21.051
78,21.072
79,21.094
80,21.118
81,21.141
82,21.166
83,21.195
84,21.228
85,21.259
86,21.296
87,21.344
88,21.406
89,21.484
90,21.591
91,21.794
92,21.967
93,22.078
94,22.176
95,22.260
96,22.342
97,22.465
98,22.646
99,23.190
100,31.882
