Percentage served,Time in ms
0,0.603
1,0.882
2,0.938
3,0.966
4,0.990
5,1.007
6,1.023
7,1.035
8,1.049
9,1.064
10,1.075
11,1.085
12,1.094
13,1.102
14,1.111
15,1.119
16,1.127
17,1.136
18,1.144
19,1.152
20,1.160
21,1.166
22,1.175
23,1.183
24,1.190
25,1.197
26,1.203
27,1.209
28,1.218
29,1.224
30,1.231
31,1.238
32,1.244
33,1.251
34,1.257
35,1.264
36,1.271
37,1.278
38,1.284
39,1.290
40,1.296
41,1.303
42,1.310
43,1.317
44,1.323
45,1.328
46,1.334
47,1.340
48,1.347
49,1.353
50,1.359
51,1.365
52,1.371
53,1.378
54,1.385
55,1.393
56,1.402
57,1.409
58,1.416
59,1.424
60,1.432
61,1.438
62,1.445
63,1.453
64,1.462
65,1.471
66,1.480
67,1.489
68,1.498
69,1.507
70,1.517
71,1.527
72,1.538
73,1.549
74,1.559
75,1.574
76,1.587
77,1.600
78,1.613
79,1.626
80,1.641
81,1.656
82,1.672
83,1.691
84,1.708
85,1.728
86,1.746
87,1.772
88,1.799
89,1.829
90,1.864
91,1.901
92,1.941
93,1.994
94,2.066
95,2.173
96,2.306
97,2.506
98,2.937
99,3.593
100,21.125
