Percentage served,Time in ms
0,2.791
1,4.853
2,5.165
3,5.338
4,5.470
5,5.571
6,5.663
7,5.734
8,5.799
9,5.853
10,5.904
11,5.955
12,5.999
13,6.041
14,6.080
15,6.119
16,6.153
17,6.183
18,6.213
19,6.240
20,6.267
21,6.293
22,6.320
23,6.344
24,6.367
25,6.387
26,6.407
27,6.427
28,6.447
29,6.466
30,6.483
31,6.501
32,6.519
33,6.536
34,6.551
35,6.569
36,6.584
37,6.599
38,6.614
39,6.630
40,6.645
41,6.661
42,6.676
43,6.691
44,6.706
45,6.721
46,6.736
47,6.751
48,6.765
49,6.781
50,6.797
51,6.812
52,6.827
53,6.841
54,6.856
55,6.871
56,6.887
57,6.904
58,6.919
59,6.936
60,6.953
61,6.971
62,6.990
63,7.009
64,7.028
65,7.047
66,7.069
67,7.090
68,7.112
69,7.135
70,7.160
71,7.188
72,7.215
73,7.245
74,7.275
75,7.303
76,7.337
77,7.374
78,7.411
79,7.447
80,7.487
81,7.529
82,7.577
83,7.627
84,7.684
85,7.743
86,7.808
87,7.875
88,7.950
89,8.030
90,8.116
91,8.216
92,8.328
93,8.464
94,8.624
95,8.811
96,9.037
97,9.451
98,10.376
99,12.027
100,43.833
