Percentage served,Time in ms
0,17.343
1,18.200
2,18.543
3,18.708
4,18.826
5,18.926
6,19.031
7,19.125
8,19.197
9,19.255
10,19.306
11,19.354
12,19.400
13,19.449
14,19.500
15,19.553
16,19.609
17,19.665
18,19.722
19,19.784
20,19.851
21,19.911
22,19.967
23,20.019
24,20.068
25,20.114
26,20.158
27,20.205
28,20.250
29,20.293
30,20.334
31,20.371
32,20.408
33,20.443
34,20.479
35,20.515
36,20.553
37,20.591
38,20.633
39,20.676
40,20.722
41,20.774
42,20.832
43,20.896
44,20.978
45,21.090
46,21.271
47,21.646
48,22.115
49,22.571
50,23.022
51,23.482
52,24.012
53,24.669
54,25.570
55,26.406
56,27.333
57,28.152
58,28.868
59,29.390
60,29.800
61,30.157
62,30.469
63,30.750
64,30.996
65,31.215
66,31.408
67,31.581
68,31.746
69,31.902
70,32.044
71,32.186
72,32.321
73,32.454
74,32.582
75,32.710
76,32.836
77,32.973
78,33.101
79,33.231
80,33.364
81,33.497
82,33.641
83,33.777
84,33.927
85,34.076
86,34.228
87,34.394
88,34.575
89,34.775
90,35.005
91,35.240
92,35.525
93,35.859
94,36.261
95,36.779
96,37.858
97,1025.006
98,1035.236
99,1044.989
100,7321.727
