Percentage served,Time in ms
0,17.397
1,18.275
2,18.692
3,18.878
4,19.001
5,19.089
6,19.164
7,19.222
8,19.276
9,19.327
10,19.374
11,19.417
12,19.463
13,19.508
14,19.555
15,19.602
16,19.648
17,19.695
18,19.739
19,19.783
20,19.829
21,19.873
22,19.919
23,19.962
24,20.005
25,20.047
26,20.090
27,20.129
28,20.165
29,20.200
30,20.232
31,20.263
32,20.292
33,20.318
34,20.344
35,20.367
36,20.390
37,20.413
38,20.434
39,20.455
40,20.475
41,20.494
42,20.513
43,20.531
44,20.550
45,20.569
46,20.588
47,20.606
48,20.623
49,20.640
50,20.657
51,20.674
52,20.691
53,20.707
54,20.725
55,20.741
56,20.757
57,20.774
58,20.790
59,20.807
60,20.823
61,20.837
62,20.853
63,20.868
64,20.884
65,20.900
66,20.916
67,20.932
68,20.949
69,20.965
70,20.983
71,21.000
72,21.017
73,21.036
74,21.053
75,21.072
76,21.093
77,21.113
78,21.135
79,21.158
80,21.180
81,21.204
82,21.230
83,21.256
84,21.284
85,21.316
86,21.349
87,21.385
88,21.422
89,21.464
90,21.510
91,21.565
92,21.625
93,21.695
94,21.776
95,21.876
96,22.001
97,22.174
98,22.471
99,23.253
100,31.945
