Percentage served,Time in ms
0,17.315
1,18.017
2,18.235
3,18.438
4,18.642
5,18.765
6,18.858
7,18.938
8,19.015
9,19.082
10,19.138
11,19.187
12,19.230
13,19.270
14,19.308
15,19.342
16,19.377
17,19.410
18,19.445
19,19.480
20,19.515
21,19.549
22,19.583
23,19.616
24,19.650
25,19.682
26,19.715
27,19.745
28,19.773
29,19.803
30,19.833
31,19.863
32,19.890
33,19.919
34,19.947
35,19.975
36,20.004
37,20.031
38,20.061
39,20.092
40,20.122
41,20.154
42,20.184
43,20.213
44,20.241
45,20.267
46,20.293
47,20.320
48,20.343
49,20.367
50,20.390
51,20.413
52,20.435
53,20.457
54,20.479
55,20.501
56,20.521
57,20.544
58,20.567
59,20.591
60,20.613
61,20.635
62,20.658
63,20.682
64,20.705
65,20.728
66,20.750
67,20.773
68,20.797
69,20.819
70,20.842
71,20.864
72,20.888
73,20.912
74,20.937
75,20.962
76,20.989
77,21.013
78,21.042
79,21.072
80,21.103
81,21.135
82,21.172
83,21.209
84,21.250
85,21.294
86,21.345
87,21.398
88,21.459
89,21.524
90,21.595
91,21.671
92,21.760
93,21.855
94,21.960
95,22.080
96,22.232
97,22.421
98,22.707
99,23.336
100,30.948
