Percentage served,Time in ms
0,1.691
1,1.856
2,1.897
3,1.927
4,1.952
5,1.973
6,1.992
7,2.010
8,2.026
9,2.041
10,2.055
11,2.069
12,2.082
13,2.096
14,2.109
15,2.123
16,2.136
17,2.149
18,2.163
19,2.177
20,2.191
21,2.205
22,2.220
23,2.235
24,2.252
25,2.269
26,2.287
27,2.306
28,2.327
29,2.351
30,2.379
31,2.412
32,2.453
33,2.510
34,2.594
35,2.734
36,2.967
37,3.295
38,3.765
39,4.303
40,4.693
41,5.126
42,5.827
43,6.980
44,9.151
45,10.398
46,11.251
47,12.411
48,13.685
49,14.833
50,15.666
51,16.476
52,17.392
53,18.259
54,18.977
55,19.631
56,20.156
57,20.671
58,21.176
59,21.618
60,22.000
61,22.298
62,22.557
63,22.788
64,23.025
65,23.267
66,23.505
67,23.738
68,23.972
69,24.206
70,24.439
71,24.673
72,24.893
73,25.105
74,25.314
75,25.547
76,25.774
77,25.992
78,26.205
79,26.413
80,26.629
81,26.855
82,27.069
83,27.294
84,27.545
85,27.801
86,28.075
87,28.359
88,28.683
89,29.038
90,29.445
91,29.912
92,30.481
93,31.150
94,32.017
95,33.343
96,37.099
97,1009.571
98,1018.419
99,1025.004
100,7290.949
