Percentage served,Time in ms
0,5.426
1,11.063
2,12.959
3,14.022
4,14.392
5,14.573
6,14.712
7,14.838
8,14.960
9,15.080
10,15.191
11,15.297
12,15.387
13,15.470
14,15.546
15,15.610
16,15.671
17,15.726
18,15.781
19,15.831
20,15.877
21,15.925
22,15.966
23,16.004
24,16.043
25,16.079
26,16.115
27,16.149
28,16.182
29,16.214
30,16.246
31,16.275
32,16.303
33,16.333
34,16.362
35,16.389
36,16.413
37,16.441
38,16.467
39,16.492
40,16.514
41,16.539
42,16.565
43,16.589
44,16.613
45,16.636
46,16.658
47,16.681
48,16.703
49,16.727
50,16.750
51,16.774
52,16.798
53,16.822
54,16.848
55,16.872
56,16.899
57,16.924
58,16.950
59,16.977
60,17.004
61,17.032
62,17.060
63,17.089
64,17.118
65,17.148
66,17.181
67,17.215
68,17.251
69,17.288
70,17.329
71,17.370
72,17.411
73,17.458
74,17.505
75,17.559
76,17.619
77,17.684
78,17.764
79,17.850
80,17.942
81,18.048
82,18.161
83,18.281
84,18.400
85,18.509
86,18.617
87,18.726
88,18.829
89,18.939
90,19.047
91,19.161
92,19.278
93,19.406
94,19.546
95,19.705
96,19.893
97,20.123
98,20.438
99,20.919
100,1046.844
