Percentage served,Time in ms
0,1.734
1,1.935
2,1.981
3,2.014
4,2.040
5,2.063
6,2.083
7,2.102
8,2.120
9,2.138
10,2.154
11,2.170
12,2.185
13,2.201
14,2.216
15,2.231
16,2.246
17,2.261
18,2.277
19,2.292
20,2.308
21,2.323
22,2.340
23,2.359
24,2.377
25,2.397
26,2.420
27,2.443
28,2.470
29,2.500
30,2.537
31,2.582
32,2.643
33,2.728
34,2.908
35,3.533
36,5.350
37,6.448
38,7.530
39,9.210
40,10.722
41,11.391
42,12.011
43,12.692
44,13.613
45,14.561
46,15.424
47,16.284
48,16.948
49,17.550
50,18.134
51,18.782
52,19.638
53,20.651
54,21.413
55,21.912
56,22.401
57,22.857
58,23.263
59,23.611
60,23.932
61,24.223
62,24.488
63,24.761
64,25.048
65,25.348
66,25.669
67,25.982
68,26.313
69,26.654
70,26.984
71,27.296
72,27.574
73,27.844
74,28.132
75,28.417
76,28.733
77,29.106
78,29.584
79,30.128
80,30.652
81,31.168
82,31.602
83,32.082
84,32.469
85,32.849
86,33.300
87,33.833
88,34.590
89,35.343
90,35.915
91,36.397
92,36.902
93,37.557
94,38.490
95,40.815
96,42.614
97,1008.527
98,1018.735
99,1027.066
100,7300.321
