Percentage served,Time in ms
0,1.677
1,1.831
2,1.870
3,1.901
4,1.924
5,1.945
6,1.962
7,1.978
8,1.992
9,2.006
10,2.019
11,2.032
12,2.045
13,2.057
14,2.070
15,2.082
16,2.094
17,2.106
18,2.119
19,2.131
20,2.143
21,2.156
22,2.169
23,2.182
24,2.196
25,2.210
26,2.225
27,2.240
28,2.257
29,2.275
30,2.294
31,2.315
32,2.340
33,2.367
34,2.401
35,2.443
36,2.504
37,2.607
38,2.853
39,3.956
40,4.795
41,5.502
42,6.393
43,7.476
44,8.545
45,9.223
46,9.864
47,10.589
48,11.486
49,12.544
50,13.818
51,14.980
52,16.057
53,17.061
54,18.128
55,19.261
56,20.253
57,21.122
58,21.707
59,22.116
60,22.436
61,22.732
62,23.025
63,23.312
64,23.600
65,23.899
66,24.188
67,24.478
68,24.756
69,25.042
70,25.306
71,25.544
72,25.753
73,25.945
74,26.125
75,26.303
76,26.487
77,26.680
78,26.872
79,27.057
80,27.245
81,27.448
82,27.666
83,27.897
84,28.166
85,28.502
86,28.880
87,29.276
88,29.649
89,30.040
90,30.374
91,30.680
92,30.977
93,31.251
94,31.556
95,31.963
96,33.120
97,1005.301
98,1016.316
99,1024.251
100,7304.088
