Percentage served,Time in ms
0,2.165
1,7.599
2,8.183
3,8.530
4,8.766
5,8.981
6,9.167
7,9.349
8,9.521
9,9.686
10,9.855
11,10.026
12,10.207
13,10.392
14,10.568
15,10.739
16,10.902
17,11.060
18,11.207
19,11.345
20,11.468
21,11.594
22,11.706
23,11.816
24,11.917
25,12.012
26,12.104
27,12.198
28,12.294
29,12.388
30,12.484
31,12.589
32,12.686
33,12.790
34,12.900
35,13.017
36,13.137
37,13.268
38,13.411
39,13.569
40,13.724
41,13.888
42,14.056
43,14.212
44,14.358
45,14.505
46,14.644
47,14.795
48,14.944
49,15.087
50,15.229
51,15.385
52,15.555
53,15.724
54,15.875
55,16.023
56,16.148
57,16.262
58,16.376
59,16.486
60,16.606
61,16.735
62,16.866
63,16.996
64,17.126
65,17.256
66,17.373
67,17.487
68,17.591
69,17.696
70,17.789
71,17.877
72,17.964
73,18.047
74,18.124
75,18.198
76,18.269
77,18.339
78,18.402
79,18.463
80,18.523
81,18.583
82,18.647
83,18.704
84,18.764
85,18.824
86,18.883
87,18.945
88,19.014
89,19.089
90,19.162
91,19.246
92,19.337
93,19.445
94,19.575
95,19.740
96,19.970
97,20.280
98,20.689
99,21.405
100,31.543
