Percentage served,Time in ms
0,2.656
1,9.294
2,10.406
3,11.226
4,11.833
5,12.282
6,12.710
7,13.121
8,13.499
9,13.796
10,14.086
11,14.372
12,14.635
13,14.883
14,15.118
15,15.354
16,15.571
17,15.790
18,15.984
19,16.187
20,16.371
21,16.560
22,16.738
23,16.919
24,17.097
25,17.290
26,17.468
27,17.658
28,17.840
29,18.033
30,18.221
31,18.407
32,18.596
33,18.794
34,18.972
35,19.133
36,19.303
37,19.479
38,19.652
39,19.819
40,19.984
41,20.158
42,20.339
43,20.517
44,20.696
45,20.863
46,21.038
47,21.223
48,21.405
49,21.605
50,21.792
51,21.973
52,22.180
53,22.378
54,22.581
55,22.794
56,23.025
57,23.232
58,23.470
59,23.684
60,23.888
61,24.099
62,24.293
63,24.491
64,24.683
65,24.883
66,25.073
67,25.262
68,25.452
69,25.659
70,25.858
71,26.059
72,26.275
73,26.471
74,26.682
75,26.896
76,27.117
77,27.329
78,27.530
79,27.745
80,27.966
81,28.180
82,28.385
83,28.589
84,28.796
85,29.005
86,29.226
87,29.459
88,29.716
89,29.970
90,30.261
91,30.571
92,30.895
93,31.270
94,31.634
95,31.996
96,32.475
97,33.114
98,34.041
99,35.184
100,1052.556
