Connecting to host 10.10.0.2, port 30000
[  5] local 10.244.229.65 port 55186 connected to 10.10.0.2 port 30000
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   493 MBytes  4131 Mbits/sec  1937   1.09 MBytes       
[  5]   1.00-2.00   sec   476 MBytes  3991 Mbits/sec  487   1.04 MBytes       
[  5]   2.00-3.00   sec   476 MBytes  3999 Mbits/sec  242   1.27 MBytes       
[  5]   3.00-4.00   sec   475 MBytes  3985 Mbits/sec  1380   1.38 MBytes       
[  5]   4.00-5.00   sec   474 MBytes  3974 Mbits/sec  1452   1.46 MBytes       
[  5]   5.00-6.00   sec   475 MBytes  3985 Mbits/sec  1324   1.55 MBytes       
[  5]   6.00-7.00   sec   472 MBytes  3964 Mbits/sec  2263   1.56 MBytes       
[  5]   7.00-8.00   sec   472 MBytes  3964 Mbits/sec  2805   1.58 MBytes       
[  5]   8.00-9.00   sec   474 MBytes  3974 Mbits/sec  2097   1.65 MBytes       
[  5]   9.00-10.00  sec   472 MBytes  3964 Mbits/sec  2738   1.65 MBytes       
[  5]  10.00-11.00  sec   472 MBytes  3964 Mbits/sec  3061   1.68 MBytes       
[  5]  11.00-12.00  sec   474 MBytes  3973 Mbits/sec  2473   1.75 MBytes       
[  5]  12.00-13.00  sec   470 MBytes  3944 Mbits/sec  4466   1.77 MBytes       
[  5]  13.00-14.00  sec   471 MBytes  3954 Mbits/sec  3339   1.79 MBytes       
[  5]  14.00-15.00  sec   472 MBytes  3964 Mbits/sec  3061   1.86 MBytes       
[  5]  15.00-16.00  sec   471 MBytes  3953 Mbits/sec  3359   1.92 MBytes       
[  5]  16.00-17.00  sec   471 MBytes  3953 Mbits/sec  4116   1.94 MBytes       
[  5]  17.00-18.00  sec   471 MBytes  3953 Mbits/sec  3864   1.42 MBytes       
[  5]  18.00-19.00  sec   475 MBytes  3985 Mbits/sec  670   1.55 MBytes       
[  5]  19.00-20.00  sec   474 MBytes  3974 Mbits/sec  1912   1.59 MBytes       
[  5]  20.00-21.00  sec   472 MBytes  3964 Mbits/sec  2922   1.67 MBytes       
[  5]  21.00-22.00  sec   474 MBytes  3973 Mbits/sec  2222   1.75 MBytes       
[  5]  22.00-23.00  sec   471 MBytes  3954 Mbits/sec  3192   1.76 MBytes       
[  5]  23.00-24.00  sec   472 MBytes  3964 Mbits/sec  3155   1.78 MBytes       
[  5]  24.00-25.00  sec   470 MBytes  3941 Mbits/sec  4742   1.84 MBytes       
[  5]  25.00-26.00  sec   471 MBytes  3955 Mbits/sec  3710   1.88 MBytes       
