Connecting to host 10.10.0.2, port 30000
[  5] local 10.244.2.2 port 44860 connected to 10.10.0.2 port 30000
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  53.8 MBytes   451 Mbits/sec    0   2.45 MBytes       
[  5]   1.00-2.00   sec  57.5 MBytes   482 Mbits/sec  9231   17.0 KBytes       
[  5]   2.00-3.00   sec  48.8 MBytes   409 Mbits/sec  3308   15.6 KBytes       
[  5]   3.00-4.00   sec  47.5 MBytes   398 Mbits/sec  4803   15.6 KBytes       
[  5]   4.00-5.00   sec  47.5 MBytes   398 Mbits/sec  2881   32.5 KBytes       
[  5]   5.00-6.00   sec  48.8 MBytes   409 Mbits/sec  3507   14.1 KBytes       
[  5]   6.00-7.00   sec  47.5 MBytes   398 Mbits/sec  4450   21.2 KBytes       
[  5]   7.00-8.00   sec  47.5 MBytes   398 Mbits/sec  4022   15.6 KBytes       
[  5]   8.00-9.00   sec  48.8 MBytes   409 Mbits/sec  4513   21.2 KBytes       
[  5]   9.00-10.00  sec  48.8 MBytes   409 Mbits/sec  4069   43.8 KBytes       
[  5]  10.00-11.00  sec   486 MBytes  4079 Mbits/sec  2188   1.08 MBytes       
[  5]  11.00-12.00  sec   475 MBytes  3985 Mbits/sec  543   1.26 MBytes       
[  5]  12.00-13.00  sec   475 MBytes  3984 Mbits/sec  1068   1.40 MBytes       
[  5]  13.00-14.00  sec   475 MBytes  3983 Mbits/sec  1649   1.51 MBytes       
[  5]  14.00-15.00  sec   472 MBytes  3965 Mbits/sec  2504   1.55 MBytes       
[  5]  15.00-16.00  sec   472 MBytes  3964 Mbits/sec  2575   1.62 MBytes       
[  5]  16.00-17.00  sec   472 MBytes  3964 Mbits/sec  2668   1.62 MBytes       
[  5]  17.00-18.00  sec   472 MBytes  3964 Mbits/sec  2846   1.64 MBytes       
[  5]  18.00-19.00  sec   472 MBytes  3962 Mbits/sec  3223   1.69 MBytes       
[  5]  19.00-20.00  sec   471 MBytes  3953 Mbits/sec  2993   1.69 MBytes       
[  5]  20.00-21.00  sec   472 MBytes  3965 Mbits/sec  3194   1.74 MBytes       
[  5]  21.00-22.00  sec   461 MBytes  3869 Mbits/sec  2769   1.81 MBytes       
[  5]  22.00-23.00  sec   475 MBytes  3984 Mbits/sec  3814   1.85 MBytes       
[  5]  23.00-24.00  sec   468 MBytes  3922 Mbits/sec  6220   1.85 MBytes       
[  5]  24.00-25.00  sec   471 MBytes  3953 Mbits/sec  3543   1.89 MBytes       
[  5]  25.00-26.00  sec   470 MBytes  3942 Mbits/sec  4701   1.93 MBytes       
[  5]  26.00-27.00  sec   469 MBytes  3932 Mbits/sec  3875   1.97 MBytes       
[  5]  27.00-28.00  sec   471 MBytes  3953 Mbits/sec  4798   1.99 MBytes       
[  5]  28.00-29.00  sec   468 MBytes  3922 Mbits/sec  6447   2.00 MBytes       
[  5]  29.00-30.00  sec   468 MBytes  3922 Mbits/sec  6724   2.04 MBytes       
[  5]  30.00-31.00  sec   466 MBytes  3911 Mbits/sec  7090   2.07 MBytes       
