Percentage served,Time in ms
0,0.491
1,36.279
2,41.140
3,42.331
4,43.079
5,43.621
6,44.046
7,44.372
8,44.661
9,44.923
10,45.153
11,45.355
12,45.546
13,45.714
14,45.875
15,46.023
16,46.164
17,46.298
18,46.424
19,46.551
20,46.667
21,46.784
22,46.894
23,47.007
24,47.115
25,47.219
26,47.326
27,47.432
28,47.530
29,47.632
30,47.739
31,47.844
32,47.950
33,48.055
34,48.153
35,48.257
36,48.361
37,48.467
38,48.574
39,48.683
40,48.792
41,48.904
42,49.016
43,49.130
44,49.252
45,49.375
46,49.507
47,49.640
48,49.778
49,49.923
50,50.074
51,50.226
52,50.384
53,50.557
54,50.736
55,50.926
56,51.116
57,51.307
58,51.499
59,51.694
60,51.878
61,52.057
62,52.232
63,52.396
64,52.561
65,52.715
66,52.859
67,52.999
68,53.139
69,53.277
70,53.423
71,53.561
72,53.704
73,53.841
74,53.981
75,54.125
76,54.264
77,54.411
78,54.559
79,54.704
80,54.846
81,54.989
82,55.146
83,55.298
84,55.457
85,55.623
86,55.796
87,55.974
88,56.170
89,56.363
90,56.579
91,56.828
92,57.111
93,57.468
94,57.896
95,58.443
96,59.159
97,60.228
98,61.678
99,63.763
100,262.723
