Percentage served,Time in ms
0,17.788
1,18.722
2,18.982
3,19.169
4,19.280
5,19.365
6,19.441
7,19.507
8,19.568
9,19.621
10,19.671
11,19.716
12,19.757
13,19.795
14,19.832
15,19.869
16,19.905
17,19.941
18,19.977
19,20.012
20,20.048
21,20.084
22,20.118
23,20.155
24,20.189
25,20.221
26,20.253
27,20.285
28,20.315
29,20.345
30,20.373
31,20.401
32,20.427
33,20.452
34,20.477
35,20.501
36,20.524
37,20.547
38,20.570
39,20.592
40,20.614
41,20.634
42,20.656
43,20.676
44,20.696
45,20.716
46,20.736
47,20.756
48,20.776
49,20.794
50,20.812
51,20.831
52,20.849
53,20.868
54,20.885
55,20.904
56,20.922
57,20.941
58,20.959
59,20.977
60,20.995
61,21.013
62,21.032
63,21.051
64,21.070
65,21.090
66,21.110
67,21.130
68,21.150
69,21.170
70,21.190
71,21.212
72,21.235
73,21.259
74,21.281
75,21.307
76,21.331
77,21.356
78,21.382
79,21.411
80,21.442
81,21.472
82,21.505
83,21.540
84,21.575
85,21.615
86,21.655
87,21.695
88,21.740
89,21.787
90,21.838
91,21.899
92,21.967
93,22.036
94,22.115
95,22.210
96,22.319
97,22.468
98,22.686
99,23.307
100,1028.319
