Percentage served,Time in ms
0,18.640
1,25.787
2,27.245
3,28.049
4,28.559
5,28.908
6,29.178
7,29.402
8,29.600
9,29.760
10,29.901
11,30.031
12,30.155
13,30.263
14,30.363
15,30.461
16,30.549
17,30.632
18,30.707
19,30.783
20,30.855
21,30.920
22,30.985
23,31.052
24,31.117
25,31.177
26,31.239
27,31.298
28,31.352
29,31.408
30,31.461
31,31.512
32,31.565
33,31.616
34,31.667
35,31.718
36,31.768
37,31.820
38,31.871
39,31.919
40,31.966
41,32.012
42,32.060
43,32.108
44,32.156
45,32.203
46,32.251
47,32.297
48,32.344
49,32.394
50,32.440
51,32.488
52,32.535
53,32.584
54,32.633
55,32.684
56,32.735
57,32.784
58,32.835
59,32.887
60,32.938
61,32.992
62,33.044
63,33.100
64,33.154
65,33.209
66,33.265
67,33.320
68,33.379
69,33.440
70,33.502
71,33.563
72,33.630
73,33.695
74,33.763
75,33.831
76,33.899
77,33.971
78,34.047
79,34.128
80,34.211
81,34.294
82,34.379
83,34.471
84,34.569
85,34.675
86,34.782
87,34.904
88,35.030
89,35.168
90,35.320
91,35.485
92,35.679
93,35.898
94,36.143
95,36.448
96,36.843
97,37.364
98,38.185
99,39.875
100,1060.092
