Percentage served,Time in ms
0,18.344
1,18.730
2,18.848
3,18.925
4,18.984
5,19.031
6,19.071
7,19.104
8,19.139
9,19.171
10,19.202
11,19.234
12,19.266
13,19.296
14,19.329
15,19.361
16,19.391
17,19.422
18,19.452
19,19.481
20,19.509
21,19.539
22,19.570
23,19.605
24,19.641
25,19.682
26,19.732
27,19.796
28,19.880
29,20.016
30,20.156
31,20.249
32,20.325
33,20.384
34,20.441
35,20.489
36,20.534
37,20.574
38,20.611
39,20.648
40,20.683
41,20.716
42,20.752
43,20.791
44,20.832
45,20.881
46,20.939
47,21.019
48,21.165
49,21.572
50,21.904
51,22.250
52,23.046
53,23.716
54,24.284
55,24.710
56,25.103
57,25.464
58,25.785
59,26.072
60,26.366
61,26.663
62,27.006
63,27.370
64,27.741
65,28.165
66,28.628
67,29.174
68,29.697
69,30.152
70,30.577
71,30.901
72,31.173
73,31.402
74,31.613
75,31.806
76,31.996
77,32.187
78,32.358
79,32.537
80,32.713
81,32.898
82,33.092
83,33.289
84,33.513
85,33.749
86,34.012
87,34.297
88,34.614
89,34.963
90,35.344
91,35.822
92,36.418
93,37.206
94,38.175
95,39.390
96,43.577
97,1026.399
98,1035.976
99,1045.471
100,7313.060
