Percentage served,Time in ms
0,20.459
1,21.102
2,21.281
3,21.397
4,21.513
5,21.638
6,21.769
7,21.909
8,22.106
9,22.605
10,23.162
11,23.284
12,23.377
13,23.462
14,23.544
15,23.625
16,23.706
17,23.792
18,23.876
19,23.971
20,24.072
21,24.154
22,24.214
23,24.261
24,24.297
25,24.327
26,24.355
27,24.379
28,24.403
29,24.424
30,24.445
31,24.465
32,24.485
33,24.504
34,24.525
35,24.545
36,24.567
37,24.587
38,24.606
39,24.625
40,24.645
41,24.664
42,24.683
43,24.703
44,24.722
45,24.740
46,24.757
47,24.775
48,24.793
49,24.809
50,24.826
51,24.843
52,24.859
53,24.877
54,24.893
55,24.909
56,24.926
57,24.944
58,24.960
59,24.978
60,24.997
61,25.016
62,25.035
63,25.057
64,25.079
65,25.103
66,25.128
67,25.152
68,25.179
69,25.208
70,25.239
71,25.271
72,25.305
73,25.339
74,25.379
75,25.420
76,25.469
77,25.519
78,25.584
79,25.660
80,25.748
81,25.851
82,25.988
83,26.157
84,26.358
85,26.617
86,26.951
87,27.286
88,27.494
89,27.792
90,28.277
91,28.399
92,28.481
93,28.559
94,28.651
95,28.758
96,28.893
97,29.064
98,29.331
99,30.064
100,43.060
