Connecting to host 10.10.0.6, port 30000
[  5] local 10.0.1.7 port 48324 connected to 10.10.0.6 port 30000
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   332 MBytes  2783 Mbits/sec    8   8.02 MBytes       
[  5]   1.00-2.00   sec   362 MBytes  3041 Mbits/sec    0   8.02 MBytes       
[  5]   2.00-3.00   sec   364 MBytes  3051 Mbits/sec    0   8.02 MBytes       
[  5]   3.00-4.00   sec   364 MBytes  3051 Mbits/sec    0   8.02 MBytes       
[  5]   4.00-5.00   sec   364 MBytes  3051 Mbits/sec    0   8.02 MBytes       
[  5]   5.00-6.00   sec   365 MBytes  3062 Mbits/sec    0   8.02 MBytes       
[  5]   6.00-7.00   sec   364 MBytes  3052 Mbits/sec    0   8.02 MBytes       
[  5]   7.00-8.00   sec   362 MBytes  3040 Mbits/sec    0   8.02 MBytes       
[  5]   8.00-9.00   sec   365 MBytes  3062 Mbits/sec    0   8.02 MBytes       
[  5]   9.00-10.00  sec   362 MBytes  3041 Mbits/sec    0   8.02 MBytes       
[  5]  10.00-11.00  sec   364 MBytes  3052 Mbits/sec    0   8.02 MBytes       
[  5]  11.00-12.00  sec   364 MBytes  3051 Mbits/sec    0   8.02 MBytes       
[  5]  12.00-13.00  sec   362 MBytes  3041 Mbits/sec    0   8.02 MBytes       
[  5]  13.00-14.00  sec   364 MBytes  3051 Mbits/sec    0   8.02 MBytes       
[  5]  14.00-15.00  sec   365 MBytes  3062 Mbits/sec    0   8.02 MBytes       
[  5]  15.00-16.00  sec   364 MBytes  3051 Mbits/sec    0   8.02 MBytes       
[  5]  16.00-17.00  sec   366 MBytes  3072 Mbits/sec    0   8.02 MBytes       
[  5]  17.00-18.00  sec   365 MBytes  3062 Mbits/sec    0   8.02 MBytes       
[  5]  18.00-19.00  sec   369 MBytes  3093 Mbits/sec    0   8.02 MBytes       
[  5]  19.00-20.00  sec   368 MBytes  3084 Mbits/sec    0   8.02 MBytes       
[  5]  20.00-21.00  sec   368 MBytes  3082 Mbits/sec    0   8.02 MBytes       
[  5]  21.00-22.00  sec   366 MBytes  3073 Mbits/sec    0   8.02 MBytes       
[  5]  22.00-23.00  sec   368 MBytes  3083 Mbits/sec    0   8.02 MBytes       
[  5]  23.00-24.00  sec   366 MBytes  3072 Mbits/sec    0   8.02 MBytes       
[  5]  24.00-25.00  sec   366 MBytes  3072 Mbits/sec    0   8.02 MBytes       
[  5]  25.00-26.00  sec   365 MBytes  3062 Mbits/sec    0   8.02 MBytes       
[  5]  26.00-27.00  sec   352 MBytes  2957 Mbits/sec   38   5.62 MBytes       
[  5]  27.00-28.00  sec   365 MBytes  3062 Mbits/sec    0   5.62 MBytes       
[  5]  28.00-29.00  sec   366 MBytes  3072 Mbits/sec    0   5.62 MBytes       
[  5]  29.00-30.00  sec   366 MBytes  3072 Mbits/sec    0   5.62 MBytes       
[  5]  30.00-31.00  sec   364 MBytes  3051 Mbits/sec    0   5.62 MBytes       
[  5]  31.00-32.00  sec   362 MBytes  3040 Mbits/sec    0   5.62 MBytes       
[  5]  32.00-33.00  sec   366 MBytes  3073 Mbits/sec    0   5.62 MBytes       
[  5]  33.00-34.00  sec   362 MBytes  3040 Mbits/sec    0   5.62 MBytes       
[  5]  34.00-35.00  sec   365 MBytes  3062 Mbits/sec    0   5.62 MBytes       
[  5]  35.00-36.00  sec   368 MBytes  3083 Mbits/sec    0   5.62 MBytes       
[  5]  36.00-37.00  sec   369 MBytes  3093 Mbits/sec    0   5.62 MBytes       
[  5]  37.00-38.00  sec   366 MBytes  3073 Mbits/sec    0   5.62 MBytes       
