Percentage served,Time in ms
0,17.821
1,18.512
2,18.707
3,18.837
4,18.950
5,19.045
6,19.109
7,19.159
8,19.201
9,19.240
10,19.276
11,19.309
12,19.344
13,19.376
14,19.408
15,19.440
16,19.472
17,19.502
18,19.532
19,19.559
20,19.586
21,19.612
22,19.639
23,19.664
24,19.688
25,19.712
26,19.735
27,19.758
28,19.782
29,19.806
30,19.831
31,19.855
32,19.880
33,19.904
34,19.929
35,19.956
36,19.981
37,20.007
38,20.033
39,20.060
40,20.088
41,20.116
42,20.142
43,20.170
44,20.196
45,20.221
46,20.244
47,20.267
48,20.290
49,20.312
50,20.333
51,20.352
52,20.371
53,20.391
54,20.410
55,20.429
56,20.447
57,20.465
58,20.482
59,20.499
60,20.517
61,20.536
62,20.555
63,20.573
64,20.591
65,20.609
66,20.627
67,20.645
68,20.663
69,20.681
70,20.699
71,20.718
72,20.736
73,20.754
74,20.773
75,20.791
76,20.809
77,20.829
78,20.849
79,20.868
80,20.890
81,20.910
82,20.931
83,20.952
84,20.975
85,21.000
86,21.026
87,21.054
88,21.082
89,21.115
90,21.150
91,21.187
92,21.231
93,21.282
94,21.340
95,21.410
96,21.512
97,21.666
98,21.978
99,23.156
100,1031.263
