Percentage served,Time in ms
0,20.450
1,20.794
2,20.883
3,20.972
4,21.086
5,21.175
6,21.234
7,21.281
8,21.322
9,21.363
10,21.411
11,21.472
12,21.560
13,21.658
14,21.741
15,21.826
16,21.954
17,22.408
18,23.168
19,23.368
20,23.504
21,23.721
22,23.883
23,24.068
24,24.166
25,24.219
26,24.260
27,24.293
28,24.322
29,24.349
30,24.373
31,24.399
32,24.425
33,24.451
34,24.480
35,24.512
36,24.549
37,24.589
38,24.629
39,24.666
40,24.701
41,24.731
42,24.760
43,24.786
44,24.810
45,24.834
46,24.856
47,24.878
48,24.901
49,24.926
50,24.953
51,24.984
52,25.021
53,25.068
54,25.132
55,25.203
56,25.270
57,25.327
58,25.383
59,25.448
60,25.542
61,25.680
62,25.860
63,26.046
64,26.230
65,26.417
66,26.602
67,26.787
68,26.991
69,27.206
70,27.403
71,27.606
72,27.904
73,28.188
74,28.309
75,28.388
76,28.457
77,28.532
78,28.637
79,28.790
80,28.906
81,29.017
82,29.138
83,29.280
84,29.430
85,29.584
86,29.739
87,29.910
88,30.097
89,30.313
90,30.582
91,31.003
92,31.626
93,32.319
94,32.909
95,33.599
96,39.044
97,1032.566
98,1041.372
99,1050.824
100,15392.029
