Connecting to host 10.10.0.6, port 30000
[  5] local 10.244.1.2 port 35268 connected to 10.10.0.6 port 30000
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   278 MBytes  2333 Mbits/sec    0   8.02 MBytes       
[  5]   1.00-2.00   sec   310 MBytes  2600 Mbits/sec    0   8.02 MBytes       
[  5]   2.00-3.00   sec   308 MBytes  2579 Mbits/sec    0   8.02 MBytes       
[  5]   3.00-4.00   sec   311 MBytes  2612 Mbits/sec    0   8.02 MBytes       
[  5]   4.00-5.00   sec   294 MBytes  2464 Mbits/sec    0   8.02 MBytes       
[  5]   5.00-6.00   sec   304 MBytes  2548 Mbits/sec  196   5.61 MBytes       
[  5]   6.00-7.00   sec   308 MBytes  2579 Mbits/sec    0   5.61 MBytes       
[  5]   7.00-8.00   sec   301 MBytes  2527 Mbits/sec    0   5.61 MBytes       
[  5]   8.00-9.00   sec   300 MBytes  2516 Mbits/sec    0   5.61 MBytes       
[  5]   9.00-10.00  sec   308 MBytes  2579 Mbits/sec    0   5.61 MBytes       
[  5]  10.00-11.00  sec   304 MBytes  2548 Mbits/sec    0   5.61 MBytes       
[  5]  11.00-12.00  sec   301 MBytes  2527 Mbits/sec    0   5.61 MBytes       
[  5]  12.00-13.00  sec   309 MBytes  2590 Mbits/sec    0   5.61 MBytes       
[  5]  13.00-14.00  sec   298 MBytes  2496 Mbits/sec  142   4.00 MBytes       
[  5]  14.00-15.00  sec   299 MBytes  2506 Mbits/sec    0   4.00 MBytes       
[  5]  15.00-16.00  sec   306 MBytes  2569 Mbits/sec    0   4.00 MBytes       
[  5]  16.00-17.00  sec   319 MBytes  2674 Mbits/sec    0   4.00 MBytes       
[  5]  17.00-18.00  sec   315 MBytes  2642 Mbits/sec    0   4.00 MBytes       
[  5]  18.00-19.00  sec   316 MBytes  2654 Mbits/sec    0   4.00 MBytes       
[  5]  19.00-20.00  sec   314 MBytes  2632 Mbits/sec    0   4.00 MBytes       
[  5]  20.00-21.00  sec   316 MBytes  2653 Mbits/sec    0   4.00 MBytes       
[  5]  21.00-22.00  sec   318 MBytes  2663 Mbits/sec    0   4.00 MBytes       
[  5]  22.00-23.00  sec   318 MBytes  2664 Mbits/sec    0   4.00 MBytes       
[  5]  23.00-24.00  sec   314 MBytes  2632 Mbits/sec    0   4.00 MBytes       
[  5]  24.00-25.00  sec   315 MBytes  2642 Mbits/sec    0   4.00 MBytes       
[  5]  25.00-26.00  sec   314 MBytes  2632 Mbits/sec    0   4.00 MBytes       
[  5]  26.00-27.00  sec   318 MBytes  2663 Mbits/sec    0   4.00 MBytes       
[  5]  27.00-28.00  sec   318 MBytes  2663 Mbits/sec    0   4.00 MBytes       
[  5]  28.00-29.00  sec   316 MBytes  2654 Mbits/sec    0   4.00 MBytes       
[  5]  29.00-30.00  sec   318 MBytes  2663 Mbits/sec    0   4.00 MBytes       
[  5]  30.00-31.00  sec   318 MBytes  2663 Mbits/sec    0   4.00 MBytes       
[  5]  31.00-32.00  sec   316 MBytes  2653 Mbits/sec    0   4.00 MBytes       
[  5]  32.00-33.00  sec   315 MBytes  2642 Mbits/sec    0   4.00 MBytes       
[  5]  33.00-34.00  sec   318 MBytes  2663 Mbits/sec    0   4.00 MBytes       
[  5]  34.00-35.00  sec   314 MBytes  2632 Mbits/sec    0   4.00 MBytes       
[  5]  35.00-36.00  sec   316 MBytes  2653 Mbits/sec    0   4.00 MBytes       
[  5]  36.00-37.00  sec   311 MBytes  2611 Mbits/sec    0   4.00 MBytes       
[  5]  37.00-38.00  sec   319 MBytes  2674 Mbits/sec    0   4.00 MBytes       
