Connecting to host 10.10.0.6, port 30000
[  5] local 10.244.1.2 port 60842 connected to 10.10.0.6 port 30000
[  7] local 10.244.1.2 port 60844 connected to 10.10.0.6 port 30000
[  9] local 10.244.1.2 port 60846 connected to 10.10.0.6 port 30000
[ 11] local 10.244.1.2 port 60850 connected to 10.10.0.6 port 30000
[ 13] local 10.244.1.2 port 60852 connected to 10.10.0.6 port 30000
[ 15] local 10.244.1.2 port 60854 connected to 10.10.0.6 port 30000
[ 17] local 10.244.1.2 port 60856 connected to 10.10.0.6 port 30000
[ 19] local 10.244.1.2 port 60858 connected to 10.10.0.6 port 30000
[ 21] local 10.244.1.2 port 60860 connected to 10.10.0.6 port 30000
[ 23] local 10.244.1.2 port 60862 connected to 10.10.0.6 port 30000
[ 25] local 10.244.1.2 port 60864 connected to 10.10.0.6 port 30000
[ 27] local 10.244.1.2 port 60866 connected to 10.10.0.6 port 30000
[ 29] local 10.244.1.2 port 60868 connected to 10.10.0.6 port 30000
[ 31] local 10.244.1.2 port 60870 connected to 10.10.0.6 port 30000
[ 33] local 10.244.1.2 port 60872 connected to 10.10.0.6 port 30000
[ 35] local 10.244.1.2 port 60874 connected to 10.10.0.6 port 30000
[ 37] local 10.244.1.2 port 60876 connected to 10.10.0.6 port 30000
[ 39] local 10.244.1.2 port 60878 connected to 10.10.0.6 port 30000
[ 41] local 10.244.1.2 port 60880 connected to 10.10.0.6 port 30000
[ 43] local 10.244.1.2 port 60882 connected to 10.10.0.6 port 30000
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   102 MBytes   852 Mbits/sec   18   1.36 MBytes       
[  7]   0.00-1.00   sec  79.8 MBytes   669 Mbits/sec  122   2.27 MBytes       
[  9]   0.00-1.00   sec   129 MBytes  1080 Mbits/sec  297   3.00 MBytes       
[ 11]   0.00-1.00   sec   136 MBytes  1140 Mbits/sec  2027   2.51 MBytes       
[ 13]   0.00-1.00   sec  65.9 MBytes   552 Mbits/sec  170    787 KBytes       
[ 15]   0.00-1.00   sec   128 MBytes  1070 Mbits/sec  1751   2.39 MBytes       
[ 17]   0.00-1.00   sec   126 MBytes  1056 Mbits/sec  2226   1.82 MBytes       
[ 19]   0.00-1.00   sec  88.1 MBytes   738 Mbits/sec  572   4.18 MBytes       
[ 21]   0.00-1.00   sec   126 MBytes  1056 Mbits/sec   45   2.95 MBytes       
[ 23]   0.00-1.00   sec   109 MBytes   917 Mbits/sec  3020   2.15 MBytes       
[ 25]   0.00-1.00   sec   126 MBytes  1056 Mbits/sec  734   2.83 MBytes       
[ 27]   0.00-1.00   sec  95.1 MBytes   797 Mbits/sec  271   1.24 MBytes       
[ 29]   0.00-1.00   sec   123 MBytes  1035 Mbits/sec  1025   2.53 MBytes       
[ 31]   0.00-1.00   sec   123 MBytes  1029 Mbits/sec  252   2.82 MBytes       
[ 33]   0.00-1.00   sec   147 MBytes  1233 Mbits/sec  1207   3.25 MBytes       
[ 35]   0.00-1.00   sec  73.1 MBytes   613 Mbits/sec  324    877 KBytes       
[ 37]   0.00-1.00   sec   116 MBytes   976 Mbits/sec  2474   2.43 MBytes       
[ 39]   0.00-1.00   sec  79.7 MBytes   669 Mbits/sec  1268   2.39 MBytes       
[ 41]   0.00-1.00   sec  76.5 MBytes   641 Mbits/sec  133   1004 KBytes       
[ 43]   0.00-1.00   sec   138 MBytes  1161 Mbits/sec  1603   3.40 MBytes       
[SUM]   0.00-1.00   sec  2.14 GBytes  18342 Mbits/sec  19539             
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   1.00-2.00   sec   121 MBytes  1017 Mbits/sec    0   1.42 MBytes       
[  7]   1.00-2.00   sec   124 MBytes  1038 Mbits/sec    0   2.39 MBytes       
[  9]   1.00-2.00   sec   124 MBytes  1038 Mbits/sec    0   3.00 MBytes       
[ 11]   1.00-2.00   sec   124 MBytes  1038 Mbits/sec    0   2.51 MBytes       
[ 13]   1.00-2.00   sec  71.2 MBytes   598 Mbits/sec    0    851 KBytes       
[ 15]   1.00-2.00   sec   124 MBytes  1038 Mbits/sec    0   2.39 MBytes       
[ 17]   1.00-2.00   sec   124 MBytes  1038 Mbits/sec    0   1.87 MBytes       
[ 19]   1.00-2.00   sec   124 MBytes  1038 Mbits/sec    0   4.18 MBytes       
[ 21]   1.00-2.00   sec   124 MBytes  1038 Mbits/sec    0   2.95 MBytes       
[ 23]   1.00-2.00   sec   122 MBytes  1028 Mbits/sec    0   2.15 MBytes       
[ 25]   1.00-2.00   sec   122 MBytes  1028 Mbits/sec    0   2.83 MBytes       
[ 27]   1.00-2.00   sec   121 MBytes  1017 Mbits/sec    0   1.36 MBytes       
[ 29]   1.00-2.00   sec   124 MBytes  1038 Mbits/sec    0   2.53 MBytes       
[ 31]   1.00-2.00   sec   122 MBytes  1028 Mbits/sec    0   2.82 MBytes       
[ 33]   1.00-2.00   sec   122 MBytes  1028 Mbits/sec    0   3.25 MBytes       
[ 35]   1.00-2.00   sec  77.5 MBytes   650 Mbits/sec    0    937 KBytes       
[ 37]   1.00-2.00   sec   122 MBytes  1028 Mbits/sec    0   2.43 MBytes       
[ 39]   1.00-2.00   sec   124 MBytes  1038 Mbits/sec    0   2.39 MBytes       
