Percentage served,Time in ms
0,18.590
1,25.739
2,27.261
3,28.244
4,28.862
5,29.274
6,29.590
7,29.850
8,30.068
9,30.267
10,30.447
11,30.615
12,30.757
13,30.891
14,31.019
15,31.135
16,31.242
17,31.345
18,31.443
19,31.533
20,31.616
21,31.702
22,31.782
23,31.858
24,31.932
25,32.007
26,32.074
27,32.143
28,32.208
29,32.271
30,32.331
31,32.392
32,32.452
33,32.509
34,32.569
35,32.625
36,32.679
37,32.734
38,32.787
39,32.840
40,32.891
41,32.943
42,32.993
43,33.043
44,33.095
45,33.144
46,33.190
47,33.239
48,33.288
49,33.336
50,33.384
51,33.431
52,33.477
53,33.526
54,33.573
55,33.621
56,33.671
57,33.719
58,33.770
59,33.820
60,33.868
61,33.920
62,33.971
63,34.024
64,34.076
65,34.130
66,34.187
67,34.244
68,34.298
69,34.355
70,34.416
71,34.478
72,34.539
73,34.603
74,34.670
75,34.737
76,34.805
77,34.873
78,34.946
79,35.022
80,35.104
81,35.189
82,35.279
83,35.371
84,35.473
85,35.572
86,35.688
87,35.802
88,35.927
89,36.060
90,36.209
91,36.376
92,36.556
93,36.758
94,36.987
95,37.270
96,37.620
97,38.163
98,38.998
99,40.637
100,1042.928
