Connecting to host 10.10.0.5, port 30000
[  5] local 10.44.0.1 port 58534 connected to 10.10.0.5 port 30000
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   330 MBytes  2769 Mbits/sec   49   8.01 MBytes       
[  5]   1.00-2.00   sec   355 MBytes  2978 Mbits/sec   69   5.60 MBytes       
[  5]   2.00-3.00   sec   366 MBytes  3072 Mbits/sec    0   5.60 MBytes       
[  5]   3.00-4.00   sec   362 MBytes  3041 Mbits/sec    0   5.60 MBytes       
[  5]   4.00-5.00   sec   368 MBytes  3083 Mbits/sec    0   5.60 MBytes       
[  5]   5.00-6.00   sec   360 MBytes  3020 Mbits/sec  499   3.98 MBytes       
[  5]   6.00-7.00   sec   368 MBytes  3083 Mbits/sec    0   4.01 MBytes       
[  5]   7.00-8.00   sec   370 MBytes  3104 Mbits/sec    0   4.01 MBytes       
[  5]   8.00-9.00   sec   366 MBytes  3073 Mbits/sec    0   4.01 MBytes       
[  5]   9.00-10.00  sec   369 MBytes  3093 Mbits/sec    0   4.01 MBytes       
[  5]  10.00-11.00  sec   369 MBytes  3093 Mbits/sec    0   4.01 MBytes       
[  5]  11.00-12.00  sec   365 MBytes  3062 Mbits/sec    0   4.01 MBytes       
[  5]  12.00-13.00  sec   368 MBytes  3083 Mbits/sec    0   4.01 MBytes       
[  5]  13.00-14.00  sec   368 MBytes  3083 Mbits/sec    0   4.01 MBytes       
[  5]  14.00-15.00  sec   368 MBytes  3083 Mbits/sec    0   4.01 MBytes       
[  5]  15.00-16.00  sec   370 MBytes  3104 Mbits/sec    0   4.01 MBytes       
[  5]  16.00-17.00  sec   371 MBytes  3115 Mbits/sec    0   4.01 MBytes       
[  5]  17.00-18.00  sec   366 MBytes  3072 Mbits/sec    0   4.01 MBytes       
[  5]  18.00-19.00  sec   368 MBytes  3083 Mbits/sec    0   4.01 MBytes       
[  5]  19.00-20.00  sec   366 MBytes  3073 Mbits/sec    0   4.01 MBytes       
[  5]  20.00-21.00  sec   370 MBytes  3104 Mbits/sec    0   4.01 MBytes       
[  5]  21.00-22.00  sec   369 MBytes  3093 Mbits/sec    0   4.01 MBytes       
[  5]  22.00-23.00  sec   364 MBytes  3051 Mbits/sec    0   4.01 MBytes       
[  5]  23.00-24.00  sec   368 MBytes  3083 Mbits/sec    0   4.01 MBytes       
[  5]  24.00-25.00  sec   370 MBytes  3104 Mbits/sec    0   4.01 MBytes       
[  5]  25.00-26.00  sec   295 MBytes  2475 Mbits/sec  467   2.91 MBytes       
[  5]  26.00-27.00  sec   278 MBytes  2328 Mbits/sec    0   3.04 MBytes       
[  5]  27.00-28.00  sec   290 MBytes  2433 Mbits/sec    0   3.15 MBytes       
[  5]  28.00-29.00  sec   296 MBytes  2485 Mbits/sec    0   3.24 MBytes       
[  5]  29.00-30.00  sec   305 MBytes  2558 Mbits/sec    0   3.30 MBytes       
[  5]  30.00-31.00  sec   310 MBytes  2601 Mbits/sec    0   3.34 MBytes       
[  5]  31.00-32.00  sec   311 MBytes  2611 Mbits/sec    0   3.38 MBytes       
[  5]  32.00-33.00  sec   316 MBytes  2653 Mbits/sec    0   3.39 MBytes       
[  5]  33.00-34.00  sec   314 MBytes  2632 Mbits/sec    0   3.40 MBytes       
[  5]  34.00-35.00  sec   319 MBytes  2674 Mbits/sec    0   3.41 MBytes       
[  5]  35.00-36.00  sec   321 MBytes  2695 Mbits/sec    0   3.47 MBytes       
[  5]  36.00-37.00  sec   326 MBytes  2737 Mbits/sec    0   3.53 MBytes       
[  5]  37.00-38.00  sec   331 MBytes  2779 Mbits/sec    0   3.59 MBytes       
[  5]  38.00-39.00  sec   339 MBytes  2842 Mbits/sec    0   3.66 MBytes       
[  5]  39.00-40.00  sec   344 MBytes  2884 Mbits/sec    0   3.72 MBytes       
[  5]  40.00-41.00  sec   349 MBytes  2926 Mbits/sec    0   3.78 MBytes       
[  5]  41.00-42.00  sec   356 MBytes  2988 Mbits/sec    0   3.84 MBytes       
[  5]  42.00-43.00  sec   358 MBytes  2999 Mbits/sec    0   3.90 MBytes       
[  5]  43.00-44.00  sec   365 MBytes  3062 Mbits/sec    0   3.96 MBytes       
[  5]  44.00-45.00  sec   370 MBytes  3104 Mbits/sec    0   4.00 MBytes       
[  5]  45.00-46.00  sec   370 MBytes  3104 Mbits/sec    0   4.00 MBytes       
[  5]  46.00-47.00  sec   370 MBytes  3104 Mbits/sec    0   4.00 MBytes       
[  5]  47.00-48.00  sec   370 MBytes  3104 Mbits/sec    0   4.00 MBytes       
[  5]  48.00-49.00  sec   369 MBytes  3093 Mbits/sec    0   4.00 MBytes       
[  5]  49.00-50.00  sec   369 MBytes  3093 Mbits/sec    0   4.00 MBytes       
[  5]  50.00-51.00  sec   369 MBytes  3093 Mbits/sec    0   4.00 MBytes       
[  5]  51.00-52.00  sec   370 MBytes  3104 Mbits/sec    0   4.00 MBytes       
[  5]  52.00-53.00  sec   369 MBytes  3093 Mbits/sec    0   4.00 MBytes       
[  5]  53.00-54.00  sec   370 MBytes  3104 Mbits/sec    0   4.00 MBytes       
[  5]  54.00-55.00  sec   370 MBytes  3104 Mbits/sec    0   4.00 MBytes       
[  5]  55.00-56.00  sec   371 MBytes  3114 Mbits/sec    0   4.00 MBytes       
[  5]  56.00-57.00  sec   369 MBytes  3093 Mbits/sec    0   4.00 MBytes       
[  5]  57.00-58.00  sec   370 MBytes  3104 Mbits/sec    0   4.00 MBytes       
[  5]  58.00-59.00  sec   370 MBytes  3104 Mbits/sec    0   4.00 MBytes       
[  5]  59.00-60.00  sec   370 MBytes  3103 Mbits/sec    0   4.00 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  20.7 GBytes  2960 Mbits/sec  1084             sender
[  5]   0.00-60.01  sec  20.7 GBytes  2959 Mbits/sec                  receiver

iperf Done.
