Percentage served,Time in ms
0,1.955
1,8.065
2,9.948
3,11.257
4,11.975
5,12.443
6,12.732
7,12.959
8,13.118
9,13.262
10,13.385
11,13.487
12,13.575
13,13.656
14,13.731
15,13.803
16,13.866
17,13.927
18,13.987
19,14.043
20,14.099
21,14.151
22,14.196
23,14.242
24,14.289
25,14.332
26,14.376
27,14.419
28,14.464
29,14.506
30,14.548
31,14.593
32,14.637
33,14.684
34,14.732
35,14.783
36,14.834
37,14.888
38,14.949
39,15.010
40,15.074
41,15.139
42,15.209
43,15.280
44,15.351
45,15.422
46,15.497
47,15.572
48,15.650
49,15.721
50,15.788
51,15.853
52,15.913
53,15.970
54,16.028
55,16.082
56,16.133
57,16.181
58,16.230
59,16.274
60,16.316
61,16.358
62,16.399
63,16.442
64,16.482
65,16.523
66,16.564
67,16.607
68,16.651
69,16.695
70,16.740
71,16.787
72,16.834
73,16.887
74,16.944
75,17.001
76,17.058
77,17.122
78,17.187
79,17.254
80,17.318
81,17.392
82,17.479
83,17.574
84,17.685
85,17.804
86,17.925
87,18.062
88,18.208
89,18.350
90,18.521
91,18.728
92,18.975
93,19.236
94,19.515
95,19.828
96,20.166
97,20.627
98,21.259
99,22.459
100,26.771
