Connecting to host 10.10.0.6, port 30000
[  5] local 10.244.243.1 port 43036 connected to 10.10.0.6 port 30000
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   491 MBytes  4122 Mbits/sec  3168   1.22 MBytes       
[  5]   1.00-2.00   sec   475 MBytes  3985 Mbits/sec  1212   1.11 MBytes       
[  5]   2.00-3.00   sec   475 MBytes  3985 Mbits/sec  1325   1.26 MBytes       
[  5]   3.00-4.00   sec   474 MBytes  3974 Mbits/sec  1929   1.33 MBytes       
[  5]   4.00-5.00   sec   472 MBytes  3964 Mbits/sec  2391   1.40 MBytes       
[  5]   5.00-6.00   sec   472 MBytes  3963 Mbits/sec  3024   1.43 MBytes       
[  5]   6.00-7.00   sec   472 MBytes  3962 Mbits/sec  3537   1.47 MBytes       
[  5]   7.00-8.00   sec   469 MBytes  3934 Mbits/sec  4863   1.50 MBytes       
[  5]   8.00-9.00   sec   472 MBytes  3963 Mbits/sec  3224   1.54 MBytes       
[  5]   9.00-10.00  sec   470 MBytes  3943 Mbits/sec  4329   1.61 MBytes       
[  5]  10.00-11.00  sec   472 MBytes  3964 Mbits/sec  2722   1.28 MBytes       
[  5]  11.00-12.00  sec   474 MBytes  3974 Mbits/sec  2183   1.02 MBytes       
[  5]  12.00-13.00  sec   475 MBytes  3985 Mbits/sec  1163   1.19 MBytes       
[  5]  13.00-14.00  sec   474 MBytes  3974 Mbits/sec  1599   1.33 MBytes       
[  5]  14.00-15.00  sec   472 MBytes  3964 Mbits/sec  3160   1.36 MBytes       
[  5]  15.00-16.00  sec   472 MBytes  3963 Mbits/sec  2635   1.40 MBytes       
[  5]  16.00-17.00  sec   472 MBytes  3964 Mbits/sec  2184   1.51 MBytes       
[  5]  17.00-18.00  sec   471 MBytes  3953 Mbits/sec  4283   1.48 MBytes       
[  5]  18.00-19.00  sec   470 MBytes  3943 Mbits/sec  4514   1.57 MBytes       
[  5]  19.00-20.00  sec   470 MBytes  3943 Mbits/sec  4332   1.58 MBytes       
[  5]  20.00-21.00  sec   471 MBytes  3953 Mbits/sec  4034   1.66 MBytes       
