Percentage served,Time in ms
0,5.054
1,9.471
2,10.312
3,10.981
4,11.540
5,11.990
6,12.385
7,12.709
8,12.998
9,13.215
10,13.390
11,13.529
12,13.643
13,13.745
14,13.833
15,13.908
16,13.976
17,14.038
18,14.093
19,14.148
20,14.197
21,14.243
22,14.287
23,14.328
24,14.367
25,14.405
26,14.441
27,14.475
28,14.510
29,14.541
30,14.574
31,14.603
32,14.631
33,14.661
34,14.690
35,14.717
36,14.745
37,14.772
38,14.798
39,14.825
40,14.852
41,14.878
42,14.905
43,14.931
44,14.958
45,14.983
46,15.008
47,15.035
48,15.058
49,15.085
50,15.113
51,15.140
52,15.168
53,15.197
54,15.227
55,15.256
56,15.285
57,15.316
58,15.346
59,15.378
60,15.411
61,15.446
62,15.480
63,15.515
64,15.553
65,15.594
66,15.633
67,15.671
68,15.710
69,15.751
70,15.798
71,15.844
72,15.895
73,15.946
74,16.000
75,16.054
76,16.113
77,16.173
78,16.237
79,16.300
80,16.365
81,16.430
82,16.498
83,16.567
84,16.638
85,16.720
86,16.797
87,16.882
88,16.969
89,17.063
90,17.165
91,17.278
92,17.406
93,17.544
94,17.701
95,17.886
96,18.091
97,18.340
98,18.638
99,19.105
100,23.871
