Percentage served,Time in ms
0,0.817
1,8.442
2,10.574
3,11.776
4,12.485
5,13.345
6,14.090
7,14.639
8,15.009
9,15.262
10,15.456
11,15.608
12,15.736
13,15.840
14,15.944
15,16.031
16,16.111
17,16.181
18,16.247
19,16.311
20,16.367
21,16.423
22,16.477
23,16.530
24,16.580
25,16.629
26,16.674
27,16.719
28,16.762
29,16.806
30,16.849
31,16.893
32,16.937
33,16.978
34,17.020
35,17.068
36,17.114
37,17.163
38,17.214
39,17.268
40,17.322
41,17.380
42,17.437
43,17.498
44,17.564
45,17.633
46,17.708
47,17.786
48,17.872
49,17.953
50,18.037
51,18.129
52,18.210
53,18.284
54,18.364
55,18.441
56,18.513
57,18.586
58,18.655
59,18.718
60,18.781
61,18.841
62,18.898
63,18.953
64,19.007
65,19.059
66,19.112
67,19.162
68,19.209
69,19.260
70,19.309
71,19.357
72,19.405
73,19.452
74,19.499
75,19.550
76,19.600
77,19.657
78,19.721
79,19.792
80,19.873
81,19.958
82,20.042
83,20.133
84,20.234
85,20.344
86,20.457
87,20.568
88,20.687
89,20.817
90,20.969
91,21.152
92,21.337
93,21.539
94,21.758
95,22.004
96,22.310
97,22.711
98,23.224
99,24.079
100,1028.200
