Percentage served,Time in ms
0,21.475
1,33.689
2,34.302
3,34.667
4,34.952
5,35.200
6,35.441
7,35.660
8,35.879
9,36.096
10,36.316
11,36.536
12,36.762
13,36.981
14,37.206
15,37.413
16,37.610
17,37.794
18,37.956
19,38.107
20,38.247
21,38.375
22,38.504
23,38.625
24,38.740
25,38.851
26,38.958
27,39.063
28,39.164
29,39.259
30,39.355
31,39.447
32,39.537
33,39.624
34,39.710
35,39.793
36,39.880
37,39.964
38,40.044
39,40.129
40,40.212
41,40.293
42,40.379
43,40.464
44,40.551
45,40.635
46,40.722
47,40.812
48,40.898
49,40.986
50,41.080
51,41.178
52,41.277
53,41.376
54,41.475
55,41.574
56,41.681
57,41.792
58,41.903
59,42.017
60,42.134
61,42.249
62,42.369
63,42.503
64,42.629
65,42.761
66,42.894
67,43.027
68,43.164
69,43.299
70,43.442
71,43.582
72,43.725
73,43.865
74,44.002
75,44.139
76,44.272
77,44.412
78,44.547
79,44.684
80,44.825
81,44.967
82,45.106
83,45.254
84,45.404
85,45.567
86,45.734
87,45.915
88,46.098
89,46.301
90,46.535
91,46.791
92,47.073
93,47.399
94,47.766
95,48.212
96,48.784
97,49.538
98,50.572
99,52.204
100,60.745
