Percentage served,Time in ms
0,0.237
1,0.382
2,0.412
3,0.435
4,0.454
5,0.471
6,0.487
7,0.501
8,0.516
9,0.529
10,0.543
11,0.556
12,0.569
13,0.582
14,0.595
15,0.609
16,0.623
17,0.638
18,0.652
19,0.667
20,0.683
21,0.700
22,0.718
23,0.737
24,0.757
25,0.779
26,0.801
27,0.827
28,0.855
29,0.886
30,0.922
31,0.962
32,1.008
33,1.064
34,1.134
35,1.236
36,1.393
37,1.697
38,2.556
39,4.633
40,6.004
41,6.787
42,7.686
43,8.900
44,10.042
45,10.848
46,11.699
47,12.647
48,13.375
49,14.348
50,15.034
51,15.555
52,16.129
53,16.905
54,17.576
55,18.105
56,18.673
57,19.366
58,20.116
59,20.868
60,21.493
61,22.006
62,22.465
63,22.882
64,23.250
65,23.587
66,23.898
67,24.218
68,24.564
69,24.953
70,25.324
71,25.737
72,26.046
73,26.341
74,26.585
75,26.817
76,27.053
77,27.267
78,27.472
79,27.705
80,27.934
81,28.173
82,28.413
83,28.650
84,28.892
85,29.156
86,29.485
87,29.956
88,30.706
89,31.342
90,31.760
91,32.131
92,32.534
93,32.936
94,33.342
95,34.008
96,35.924
97,1010.957
98,1018.710
99,1023.076
100,7286.932
