Connecting to host 10.10.0.6, port 30000
[  5] local 10.244.1.2 port 33436 connected to 10.10.0.6 port 30000
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   840 MBytes  7048 Mbits/sec   46   1.72 MBytes       
[  5]   1.00-2.00   sec  1.17 GBytes  10066 Mbits/sec    0   2.16 MBytes       
[  5]   2.00-3.00   sec  1.34 GBytes  11467 Mbits/sec   11   1.84 MBytes       
[  5]   3.00-4.00   sec  1.25 GBytes  10699 Mbits/sec    0   2.28 MBytes       
[  5]   4.00-5.00   sec  1.52 GBytes  13062 Mbits/sec    0   2.73 MBytes       
[  5]   5.00-6.00   sec  1.78 GBytes  15314 Mbits/sec    0   3.18 MBytes       
[  5]   6.00-7.00   sec  2.07 GBytes  17794 Mbits/sec    0   3.61 MBytes       
[  5]   7.00-8.00   sec  2.07 GBytes  17752 Mbits/sec  456   2.87 MBytes       
[  5]   8.00-9.00   sec  1.89 GBytes  16253 Mbits/sec   33   3.31 MBytes       
[  5]   9.00-10.00  sec  2.15 GBytes  18454 Mbits/sec    0   3.73 MBytes       
[  5]  10.00-11.00  sec  2.33 GBytes  20029 Mbits/sec    0   4.00 MBytes       
[  5]  11.00-12.00  sec  2.36 GBytes  20246 Mbits/sec    0   4.00 MBytes       
[  5]  12.00-13.00  sec  1.83 GBytes  15749 Mbits/sec  573   1.55 MBytes       
[  5]  13.00-14.00  sec  1.07 GBytes  9198 Mbits/sec    0   1.99 MBytes       
[  5]  14.00-15.00  sec  1.13 GBytes  9720 Mbits/sec   81   1.76 MBytes       
[  5]  15.00-16.00  sec  1.20 GBytes  10297 Mbits/sec    0   2.19 MBytes       
[  5]  16.00-17.00  sec  1.08 GBytes  9298 Mbits/sec   44   2.00 MBytes       
[  5]  17.00-18.00  sec  1.04 GBytes  8925 Mbits/sec   93   1.83 MBytes       
[  5]  18.00-19.00  sec  1.25 GBytes  10716 Mbits/sec    0   2.27 MBytes       
[  5]  19.00-20.00  sec  1.30 GBytes  11136 Mbits/sec   57   1.96 MBytes       
[  5]  20.00-21.00  sec  1.32 GBytes  11346 Mbits/sec    0   2.40 MBytes       
[  5]  21.00-22.00  sec  1.43 GBytes  12310 Mbits/sec  413   2.03 MBytes       
[  5]  22.00-23.00  sec  1.38 GBytes  11848 Mbits/sec    0   2.48 MBytes       
[  5]  23.00-24.00  sec   251 MBytes  2107 Mbits/sec  2256   4.10 KBytes       
[  5]  24.00-25.00  sec  2.50 MBytes  21.0 Mbits/sec  221   4.10 KBytes       
[  5]  25.00-26.00  sec  2.50 MBytes  21.0 Mbits/sec  182   4.10 KBytes       
[  5]  26.00-27.00  sec  2.50 MBytes  21.0 Mbits/sec  226   4.10 KBytes       
[  5]  27.00-28.00  sec  2.50 MBytes  21.0 Mbits/sec  188   2.73 KBytes       
[  5]  28.00-29.00  sec  2.50 MBytes  21.0 Mbits/sec  176   6.83 KBytes       
[  5]  29.00-30.00  sec  2.50 MBytes  21.0 Mbits/sec  204   4.10 KBytes       
[  5]  30.00-31.00  sec  1.25 MBytes  10.5 Mbits/sec  211   5.46 KBytes       
[  5]  31.00-32.00  sec  2.50 MBytes  21.0 Mbits/sec  190   4.10 KBytes       
[  5]  32.00-33.00  sec  2.50 MBytes  21.0 Mbits/sec  217   8.19 KBytes       
[  5]  33.00-34.00  sec  2.50 MBytes  21.0 Mbits/sec  208   5.46 KBytes       
[  5]  34.00-35.00  sec  2.50 MBytes  21.0 Mbits/sec  206   6.83 KBytes       
[  5]  35.00-36.00  sec  2.50 MBytes  21.0 Mbits/sec  219   6.83 KBytes       
[  5]  36.00-37.00  sec  2.50 MBytes  21.0 Mbits/sec  234   4.10 KBytes       
[  5]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec  203   4.10 KBytes       
[  5]  38.00-39.00  sec  2.50 MBytes  21.0 Mbits/sec  164   6.83 KBytes       
[  5]  39.00-40.00  sec  2.50 MBytes  21.0 Mbits/sec  163   2.73 KBytes       
[  5]  40.00-41.00  sec  2.50 MBytes  21.0 Mbits/sec  224   4.10 KBytes       
[  5]  41.00-42.00  sec  2.50 MBytes  21.0 Mbits/sec  182   6.83 KBytes       
[  5]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec  180   4.10 KBytes       
[  5]  43.00-44.00  sec  2.50 MBytes  21.0 Mbits/sec  199   4.10 KBytes       
[  5]  44.00-45.00  sec  2.50 MBytes  21.0 Mbits/sec  201   2.73 KBytes       
[  5]  45.00-46.00  sec  2.50 MBytes  21.0 Mbits/sec  195   4.10 KBytes       
[  5]  46.00-47.00  sec  2.50 MBytes  21.0 Mbits/sec  170   4.10 KBytes       
[  5]  47.00-48.00  sec  2.50 MBytes  21.0 Mbits/sec  167   4.10 KBytes       
[  5]  48.00-49.00  sec  1.25 MBytes  10.5 Mbits/sec  205   2.73 KBytes       
[  5]  49.00-50.00  sec  2.50 MBytes  21.0 Mbits/sec  225   6.83 KBytes       
[  5]  50.00-51.00  sec  2.50 MBytes  21.0 Mbits/sec  181   4.10 KBytes       
[  5]  51.00-52.00  sec  2.50 MBytes  21.0 Mbits/sec  217   2.73 KBytes       
[  5]  52.00-53.00  sec  2.50 MBytes  21.0 Mbits/sec  187   4.10 KBytes       
[  5]  53.00-54.00  sec  2.50 MBytes  21.0 Mbits/sec  215   4.10 KBytes       
[  5]  54.00-55.00  sec  2.50 MBytes  21.0 Mbits/sec  183   6.83 KBytes       
[  5]  55.00-56.00  sec  2.50 MBytes  21.0 Mbits/sec  177   4.10 KBytes       
[  5]  56.00-57.00  sec  1.25 MBytes  10.5 Mbits/sec  181   4.10 KBytes       
[  5]  57.00-58.00  sec  2.50 MBytes  21.0 Mbits/sec  209   4.10 KBytes       
[  5]  58.00-59.00  sec  2.50 MBytes  21.0 Mbits/sec  200   5.46 KBytes       
[  5]  59.00-60.00  sec  2.50 MBytes  21.0 Mbits/sec  208   4.10 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  35.1 GBytes  5026 Mbits/sec  11181             sender
[  5]   0.00-60.01  sec  35.1 GBytes  5024 Mbits/sec                  receiver

iperf Done.
