Percentage served,Time in ms
0,0.512
1,4.866
2,5.533
3,6.006
4,6.448
5,6.836
6,7.167
7,7.438
8,7.667
9,7.883
10,8.077
11,8.247
12,8.396
13,8.544
14,8.685
15,8.821
16,8.962
17,9.100
18,9.236
19,9.370
20,9.498
21,9.626
22,9.754
23,9.898
24,10.037
25,10.180
26,10.336
27,10.489
28,10.640
29,10.788
30,10.918
31,11.044
32,11.168
33,11.290
34,11.409
35,11.519
36,11.623
37,11.719
38,11.817
39,11.912
40,12.001
41,12.089
42,12.178
43,12.266
44,12.354
45,12.444
46,12.533
47,12.620
48,12.708
49,12.803
50,12.897
51,12.994
52,13.093
53,13.192
54,13.302
55,13.411
56,13.527
57,13.643
58,13.763
59,13.877
60,13.987
61,14.096
62,14.198
63,14.312
64,14.423
65,14.536
66,14.639
67,14.744
68,14.853
69,14.957
70,15.068
71,15.182
72,15.299
73,15.415
74,15.536
75,15.660
76,15.790
77,15.917
78,16.048
79,16.180
80,16.325
81,16.484
82,16.630
83,16.781
84,16.938
85,17.109
86,17.294
87,17.484
88,17.698
89,17.923
90,18.155
91,18.411
92,18.714
93,19.074
94,19.451
95,19.839
96,20.355
97,20.904
98,21.586
99,22.895
100,1020.321
