Connecting to host 10.10.0.6, port 30000
[  5] local 10.244.1.5 port 54180 connected to 10.10.0.6 port 30000
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  2.71 MBytes  22.7 Mbits/sec  214   5.58 KBytes       
[  5]   1.00-2.00   sec  2.51 MBytes  21.1 Mbits/sec  200   2.79 KBytes       
[  5]   2.00-3.00   sec  2.51 MBytes  21.1 Mbits/sec  184   2.79 KBytes       
[  5]   3.00-4.00   sec  2.57 MBytes  21.6 Mbits/sec  172   4.18 KBytes       
[  5]   4.00-5.00   sec  2.51 MBytes  21.1 Mbits/sec  192   4.18 KBytes       
[  5]   5.00-6.00   sec  2.51 MBytes  21.1 Mbits/sec  232   5.58 KBytes       
[  5]   6.00-7.00   sec  2.51 MBytes  21.1 Mbits/sec  190   4.18 KBytes       
[  5]   7.00-8.00   sec  2.51 MBytes  21.1 Mbits/sec  182   4.18 KBytes       
[  5]   8.00-9.00   sec  2.33 MBytes  19.5 Mbits/sec  176   2.79 KBytes       
[  5]   9.00-10.00  sec  2.27 MBytes  19.0 Mbits/sec  144   4.18 KBytes       
[  5]  10.00-11.00  sec  2.51 MBytes  21.1 Mbits/sec  163   4.18 KBytes       
[  5]  11.00-12.00  sec  2.57 MBytes  21.6 Mbits/sec  172   4.18 KBytes       
[  5]  12.00-13.00  sec  2.57 MBytes  21.6 Mbits/sec  186   5.58 KBytes       
[  5]  13.00-14.00  sec  2.57 MBytes  21.6 Mbits/sec  191   4.18 KBytes       
[  5]  14.00-15.00  sec  2.51 MBytes  21.1 Mbits/sec  204   2.79 KBytes       
[  5]  15.00-16.00  sec  2.45 MBytes  20.6 Mbits/sec  174   4.18 KBytes       
[  5]  16.00-17.00  sec  2.51 MBytes  21.1 Mbits/sec  197   5.58 KBytes       
[  5]  17.00-18.00  sec  2.57 MBytes  21.6 Mbits/sec  186   4.18 KBytes       
[  5]  18.00-19.00  sec  2.51 MBytes  21.1 Mbits/sec  182   4.18 KBytes       
[  5]  19.00-20.00  sec  2.51 MBytes  21.1 Mbits/sec  193   4.18 KBytes       
[  5]  20.00-21.00  sec  2.57 MBytes  21.6 Mbits/sec  182   4.18 KBytes       
[  5]  21.00-22.00  sec  2.51 MBytes  21.1 Mbits/sec  195   4.18 KBytes       
[  5]  22.00-23.00  sec  2.51 MBytes  21.1 Mbits/sec  220   5.58 KBytes       
[  5]  23.00-24.00  sec  2.51 MBytes  21.1 Mbits/sec  176   4.18 KBytes       
[  5]  24.00-25.00  sec  2.51 MBytes  21.1 Mbits/sec  182   4.18 KBytes       
[  5]  25.00-26.00  sec  2.57 MBytes  21.6 Mbits/sec  203   4.18 KBytes       
[  5]  26.00-27.00  sec  2.57 MBytes  21.6 Mbits/sec  166   4.18 KBytes       
[  5]  27.00-28.00  sec  2.57 MBytes  21.6 Mbits/sec  199   5.58 KBytes       
[  5]  28.00-29.00  sec  2.51 MBytes  21.1 Mbits/sec  184   9.76 KBytes       
[  5]  29.00-30.00  sec  2.57 MBytes  21.6 Mbits/sec  180   6.97 KBytes       
[  5]  30.00-31.00  sec  2.51 MBytes  21.1 Mbits/sec  180   5.58 KBytes       
[  5]  31.00-32.00  sec  2.51 MBytes  21.1 Mbits/sec  199   6.97 KBytes       
[  5]  32.00-33.00  sec  2.76 MBytes  23.1 Mbits/sec  161   5.58 KBytes       
[  5]  33.00-34.00  sec  2.76 MBytes  23.1 Mbits/sec  165   4.18 KBytes       
[  5]  34.00-35.00  sec  2.70 MBytes  22.6 Mbits/sec  189   2.79 KBytes       
[  5]  35.00-36.00  sec  2.82 MBytes  23.6 Mbits/sec  146   8.37 KBytes       
[  5]  36.00-37.00  sec  2.76 MBytes  23.1 Mbits/sec  172   6.97 KBytes       
[  5]  37.00-38.00  sec  2.70 MBytes  22.6 Mbits/sec  182   4.18 KBytes       
[  5]  38.00-39.00  sec  2.70 MBytes  22.6 Mbits/sec  194   5.58 KBytes       
[  5]  39.00-40.00  sec  2.84 MBytes  23.9 Mbits/sec  182   4.18 KBytes       
[  5]  40.00-41.00  sec  2.70 MBytes  22.6 Mbits/sec  204   4.18 KBytes       
[  5]  41.00-42.00  sec  2.70 MBytes  22.6 Mbits/sec  201   6.97 KBytes       
[  5]  42.00-43.00  sec  3.07 MBytes  25.7 Mbits/sec  226   4.18 KBytes       
[  5]  43.00-44.00  sec  2.82 MBytes  23.6 Mbits/sec  187   4.18 KBytes       
[  5]  44.00-45.00  sec  2.70 MBytes  22.6 Mbits/sec  165   4.18 KBytes       
[  5]  45.00-46.00  sec  3.00 MBytes  25.2 Mbits/sec  221   2.79 KBytes       
[  5]  46.00-47.00  sec  2.82 MBytes  23.6 Mbits/sec  165   4.18 KBytes       
[  5]  47.00-48.00  sec  2.82 MBytes  23.6 Mbits/sec  220   4.18 KBytes       
[  5]  48.00-49.00  sec  2.94 MBytes  24.7 Mbits/sec  184   6.97 KBytes       
[  5]  49.00-50.00  sec  2.70 MBytes  22.6 Mbits/sec  172   5.58 KBytes       
[  5]  50.00-51.00  sec  2.64 MBytes  22.1 Mbits/sec  209   4.18 KBytes       
[  5]  51.00-52.00  sec  3.00 MBytes  25.2 Mbits/sec  211   2.79 KBytes       
[  5]  52.00-53.00  sec  2.82 MBytes  23.6 Mbits/sec  190   4.18 KBytes       
[  5]  53.00-54.00  sec  2.82 MBytes  23.6 Mbits/sec  181   4.18 KBytes       
[  5]  54.00-55.00  sec  2.70 MBytes  22.6 Mbits/sec  192   9.76 KBytes       
[  5]  55.00-56.00  sec  2.70 MBytes  22.6 Mbits/sec  155   4.18 KBytes       
[  5]  56.00-57.00  sec  2.82 MBytes  23.6 Mbits/sec  178   4.18 KBytes       
[  5]  57.00-58.00  sec  2.57 MBytes  21.6 Mbits/sec  181   5.58 KBytes       
[  5]  58.00-59.00  sec  2.70 MBytes  22.6 Mbits/sec  165   4.18 KBytes       
[  5]  59.00-60.00  sec  2.70 MBytes  22.6 Mbits/sec  186   4.18 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   158 MBytes  22.2 Mbits/sec  11184             sender
[  5]   0.00-60.03  sec   158 MBytes  22.1 Mbits/sec                  receiver

iperf Done.
