Percentage served,Time in ms
0,0.972
1,12.155
2,14.435
3,16.418
4,17.840
5,19.057
6,20.215
7,21.225
8,22.236
9,23.184
10,24.112
11,25.056
12,25.811
13,26.446
14,26.974
15,27.434
16,27.824
17,28.152
18,28.450
19,28.733
20,28.972
21,29.200
22,29.423
23,29.632
24,29.822
25,30.000
26,30.178
27,30.332
28,30.477
29,30.621
30,30.769
31,30.908
32,31.054
33,31.196
34,31.349
35,31.510
36,31.684
37,31.863
38,32.047
39,32.237
40,32.442
41,32.662
42,32.879
43,33.099
44,33.314
45,33.514
46,33.729
47,33.930
48,34.112
49,34.278
50,34.425
51,34.571
52,34.699
53,34.817
54,34.934
55,35.044
56,35.151
57,35.246
58,35.341
59,35.437
60,35.534
61,35.628
62,35.729
63,35.833
64,35.952
65,36.081
66,36.223
67,36.371
68,36.538
69,36.725
70,36.956
71,37.215
72,37.533
73,37.920
74,38.344
75,38.721
76,39.014
77,39.276
78,39.503
79,39.705
80,39.889
81,40.058
82,40.212
83,40.365
84,40.536
85,40.720
86,40.915
87,41.129
88,41.374
89,41.666
90,42.071
91,42.757
92,43.597
93,44.469
94,45.082
95,45.799
96,46.488
97,47.242
98,48.178
99,50.300
100,1062.750
