Percentage served,Time in ms
0,0.261
1,0.423
2,0.459
3,0.483
4,0.504
5,0.521
6,0.537
7,0.552
8,0.567
9,0.581
10,0.594
11,0.607
12,0.620
13,0.633
14,0.645
15,0.658
16,0.671
17,0.685
18,0.699
19,0.713
20,0.728
21,0.743
22,0.759
23,0.775
24,0.793
25,0.812
26,0.833
27,0.856
28,0.881
29,0.910
30,0.942
31,0.979
32,1.024
33,1.080
34,1.154
35,1.267
36,1.467
37,2.032
38,2.695
39,4.927
40,6.550
41,7.316
42,8.023
43,8.692
44,9.345
45,10.109
46,10.902
47,11.672
48,12.646
49,13.580
50,14.452
51,15.250
52,16.041
53,16.937
54,17.710
55,18.652
56,19.637
57,20.583
58,21.426
59,22.087
60,22.734
61,23.356
62,23.911
63,24.405
64,24.784
65,25.131
66,25.480
67,25.797
68,26.114
69,26.401
70,26.694
71,26.995
72,27.296
73,27.620
74,27.918
75,28.199
76,28.494
77,28.809
78,29.120
79,29.428
80,29.723
81,30.006
82,30.275
83,30.528
84,30.798
85,31.097
86,31.431
87,31.771
88,32.132
89,32.523
90,32.915
91,33.326
92,33.870
93,34.579
94,35.466
95,36.493
96,38.086
97,1005.091
98,1017.240
99,1022.911
100,7256.964
