Connecting to host 10.10.0.6, port 30000
[  5] local 10.244.110.193 port 58822 connected to 10.10.0.6 port 30000
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  2.14 GBytes  18402 Mbits/sec  15684   1.15 MBytes       
[  5]   1.00-2.00   sec  2.75 GBytes  23651 Mbits/sec  429   1.28 MBytes       
[  5]   2.00-3.00   sec  2.76 GBytes  23733 Mbits/sec    0   1.37 MBytes       
[  5]   3.00-4.00   sec  2.82 GBytes  24237 Mbits/sec    0   1.51 MBytes       
[  5]   4.00-5.00   sec  2.77 GBytes  23833 Mbits/sec  312   1.03 MBytes       
[  5]   5.00-6.00   sec  2.74 GBytes  23545 Mbits/sec   95   1.36 MBytes       
[  5]   6.00-7.00   sec  2.88 GBytes  24718 Mbits/sec  1087   1.16 MBytes       
[  5]   7.00-8.00   sec  3.10 GBytes  26657 Mbits/sec  1196    876 KBytes       
[  5]   8.00-9.00   sec  3.12 GBytes  26780 Mbits/sec  2011   1.29 MBytes       
[  5]   9.00-10.00  sec  3.09 GBytes  26550 Mbits/sec  2947   1.29 MBytes       
[  5]  10.00-11.00  sec  3.08 GBytes  26494 Mbits/sec  3064   1.28 MBytes       
[  5]  11.00-12.00  sec  3.04 GBytes  26117 Mbits/sec  3162   1.27 MBytes       
[  5]  12.00-13.00  sec  3.05 GBytes  26233 Mbits/sec  4173   1.27 MBytes       
[  5]  13.00-14.00  sec  3.10 GBytes  26667 Mbits/sec  976   1.28 MBytes       
[  5]  14.00-15.00  sec  2.85 GBytes  24464 Mbits/sec  2114   1.75 MBytes       
[  5]  15.00-16.00  sec  2.90 GBytes  24939 Mbits/sec  3962   1.05 MBytes       
[  5]  16.00-17.00  sec  2.88 GBytes  24744 Mbits/sec  375   1.29 MBytes       
[  5]  17.00-18.00  sec  2.77 GBytes  23785 Mbits/sec    0   1.29 MBytes       
[  5]  18.00-19.00  sec  2.79 GBytes  23938 Mbits/sec    0   1.30 MBytes       
