Percentage served,Time in ms
0,1.490
1,10.662
2,11.741
3,12.088
4,12.269
5,12.407
6,12.506
7,12.590
8,12.667
9,12.734
10,12.795
11,12.850
12,12.901
13,12.947
14,12.993
15,13.036
16,13.076
17,13.116
18,13.154
19,13.191
20,13.226
21,13.260
22,13.293
23,13.328
24,13.359
25,13.394
26,13.424
27,13.456
28,13.488
29,13.520
30,13.550
31,13.585
32,13.619
33,13.651
34,13.686
35,13.722
36,13.759
37,13.796
38,13.835
39,13.876
40,13.919
41,13.964
42,14.013
43,14.065
44,14.121
45,14.175
46,14.232
47,14.297
48,14.362
49,14.427
50,14.495
51,14.558
52,14.623
53,14.684
54,14.741
55,14.798
56,14.851
57,14.899
58,14.945
59,14.991
60,15.032
61,15.071
62,15.107
63,15.143
64,15.179
65,15.211
66,15.243
67,15.276
68,15.307
69,15.339
70,15.370
71,15.403
72,15.436
73,15.470
74,15.501
75,15.535
76,15.567
77,15.604
78,15.641
79,15.678
80,15.716
81,15.754
82,15.795
83,15.837
84,15.881
85,15.927
86,15.974
87,16.026
88,16.084
89,16.144
90,16.212
91,16.295
92,16.385
93,16.498
94,16.637
95,16.832
96,17.117
97,17.431
98,17.841
99,18.486
100,33.185
