Percentage served,Time in ms
0,0.631
1,7.329
2,8.726
3,10.153
4,11.069
5,11.740
6,12.225
7,12.523
8,12.741
9,12.889
10,13.010
11,13.117
12,13.221
13,13.312
14,13.390
15,13.467
16,13.534
17,13.597
18,13.659
19,13.716
20,13.771
21,13.821
22,13.872
23,13.919
24,13.965
25,14.011
26,14.058
27,14.100
28,14.141
29,14.182
30,14.224
31,14.265
32,14.311
33,14.356
34,14.401
35,14.450
36,14.501
37,14.552
38,14.604
39,14.658
40,14.715
41,14.775
42,14.841
43,14.917
44,14.993
45,15.078
46,15.163
47,15.243
48,15.323
49,15.401
50,15.466
51,15.522
52,15.573
53,15.621
54,15.665
55,15.707
56,15.748
57,15.787
58,15.821
59,15.857
60,15.891
61,15.927
62,15.961
63,15.996
64,16.030
65,16.065
66,16.099
67,16.137
68,16.174
69,16.212
70,16.252
71,16.294
72,16.338
73,16.382
74,16.427
75,16.478
76,16.531
77,16.586
78,16.646
79,16.709
80,16.779
81,16.852
82,16.936
83,17.026
84,17.123
85,17.236
86,17.356
87,17.485
88,17.618
89,17.765
90,17.917
91,18.079
92,18.231
93,18.386
94,18.590
95,18.826
96,19.125
97,19.542
98,20.087
99,21.250
100,39.069
