Percentage served,Time in ms
0,5.817
1,20.030
2,20.698
3,21.079
4,21.370
5,21.592
6,21.775
7,21.933
8,22.075
9,22.201
10,22.316
11,22.420
12,22.511
13,22.605
14,22.690
15,22.775
16,22.859
17,22.942
18,23.022
19,23.096
20,23.173
21,23.253
22,23.332
23,23.410
24,23.484
25,23.563
26,23.643
27,23.720
28,23.794
29,23.878
30,23.965
31,24.044
32,24.137
33,24.225
34,24.308
35,24.397
36,24.480
37,24.566
38,24.654
39,24.745
40,24.828
41,24.911
42,24.996
43,25.076
44,25.158
45,25.237
46,25.318
47,25.391
48,25.465
49,25.541
50,25.616
51,25.694
52,25.766
53,25.838
54,25.905
55,25.973
56,26.042
57,26.110
58,26.180
59,26.245
60,26.310
61,26.376
62,26.444
63,26.510
64,26.577
65,26.643
66,26.705
67,26.772
68,26.844
69,26.917
70,26.987
71,27.059
72,27.137
73,27.216
74,27.301
75,27.384
76,27.467
77,27.554
78,27.648
79,27.744
80,27.850
81,27.960
82,28.080
83,28.202
84,28.333
85,28.468
86,28.615
87,28.778
88,28.949
89,29.143
90,29.349
91,29.591
92,29.845
93,30.143
94,30.482
95,30.881
96,31.243
97,31.712
98,32.421
99,33.288
100,46.218
