Percentage served,Time in ms
0,0.694
1,6.450
2,7.650
3,8.273
4,8.914
5,9.620
6,10.316
7,10.934
8,11.455
9,11.893
10,12.306
11,12.720
12,13.084
13,13.421
14,13.741
15,14.042
16,14.334
17,14.633
18,14.925
19,15.190
20,15.460
21,15.716
22,15.979
23,16.240
24,16.490
25,16.744
26,17.008
27,17.277
28,17.536
29,17.799
30,18.068
31,18.346
32,18.625
33,18.890
34,19.149
35,19.402
36,19.665
37,19.929
38,20.184
39,20.469
40,20.752
41,21.046
42,21.339
43,21.645
44,21.933
45,22.219
46,22.496
47,22.778
48,23.056
49,23.342
50,23.623
51,23.897
52,24.121
53,24.357
54,24.612
55,24.880
56,25.224
57,25.579
58,25.955
59,26.388
60,26.806
61,27.197
62,27.547
63,27.881
64,28.243
65,28.621
66,29.013
67,29.428
68,29.899
69,30.407
70,31.031
71,31.689
72,32.319
73,32.911
74,33.434
75,33.900
76,34.345
77,34.933
78,35.539
79,36.106
80,36.641
81,37.302
82,37.892
83,38.530
84,39.104
85,39.756
86,40.508
87,41.256
88,42.131
89,43.345
90,44.134
91,44.919
92,45.800
93,47.064
94,48.075
95,49.988
96,53.662
97,56.795
98,1013.947
99,1041.423
100,3076.448
