Connecting to host 10.10.0.2, port 30000
[  5] local 10.244.1.2 port 37604 connected to 10.10.0.2 port 30000
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   480 MBytes  4023 Mbits/sec  10897   1.91 MBytes       
[  5]   1.00-2.00   sec   469 MBytes  3932 Mbits/sec  5428   1.97 MBytes       
[  5]   2.00-3.00   sec   471 MBytes  3953 Mbits/sec  3832   2.03 MBytes       
[  5]   3.00-4.00   sec   472 MBytes  3963 Mbits/sec  2507   2.14 MBytes       
[  5]   4.00-5.00   sec   476 MBytes  3995 Mbits/sec  349   2.27 MBytes       
[  5]   5.00-6.00   sec   469 MBytes  3932 Mbits/sec  5375   2.34 MBytes       
[  5]   6.00-7.00   sec   469 MBytes  3932 Mbits/sec  5581   2.38 MBytes       
[  5]   7.00-8.00   sec   462 MBytes  3880 Mbits/sec  10871   2.40 MBytes       
[  5]   8.00-9.00   sec   459 MBytes  3848 Mbits/sec  12634   1.97 MBytes       
[  5]   9.00-10.00  sec   464 MBytes  3890 Mbits/sec  9508   2.41 MBytes       
[  5]  10.00-11.00  sec   470 MBytes  3943 Mbits/sec  4379   2.47 MBytes       
[  5]  11.00-12.00  sec   465 MBytes  3901 Mbits/sec  8856   2.48 MBytes       
[  5]  12.00-13.00  sec   466 MBytes  3911 Mbits/sec  7915   2.52 MBytes       
[  5]  13.00-14.00  sec   469 MBytes  3932 Mbits/sec  5682   2.58 MBytes       
[  5]  14.00-15.00  sec   458 MBytes  3837 Mbits/sec  14150   2.59 MBytes       
[  5]  15.00-16.00  sec   464 MBytes  3891 Mbits/sec  9325   2.60 MBytes       
[  5]  16.00-17.00  sec   462 MBytes  3880 Mbits/sec  10297   2.61 MBytes       
[  5]  17.00-18.00  sec   468 MBytes  3922 Mbits/sec  6779   2.63 MBytes       
[  5]  18.00-19.00  sec   468 MBytes  3922 Mbits/sec  5931   2.69 MBytes       
[  5]  19.00-20.00  sec   466 MBytes  3911 Mbits/sec  7869   1.76 MBytes       
[  5]  20.00-21.00  sec   471 MBytes  3953 Mbits/sec  3867   1.93 MBytes       
[  5]  21.00-22.00  sec   471 MBytes  3952 Mbits/sec  4115   1.96 MBytes       
[  5]  22.00-23.00  sec   470 MBytes  3943 Mbits/sec  4147   2.02 MBytes       
[  5]  23.00-24.00  sec   469 MBytes  3932 Mbits/sec  5900   2.05 MBytes       
[  5]  24.00-25.00  sec   465 MBytes  3900 Mbits/sec  6075   2.07 MBytes       
[  5]  25.00-26.00  sec   474 MBytes  3975 Mbits/sec  4659   2.10 MBytes       
[  5]  26.00-27.00  sec   466 MBytes  3911 Mbits/sec  7303   2.11 MBytes       
[  5]  27.00-28.00  sec   469 MBytes  3932 Mbits/sec  5901   2.11 MBytes       
[  5]  28.00-29.00  sec   471 MBytes  3953 Mbits/sec  3897   2.13 MBytes       
[  5]  29.00-30.00  sec   476 MBytes  3994 Mbits/sec  257   2.27 MBytes       
[  5]  30.00-31.00  sec   468 MBytes  3922 Mbits/sec  6441   2.30 MBytes       
[  5]  31.00-32.00  sec   469 MBytes  3932 Mbits/sec  5052   2.32 MBytes       
[  5]  32.00-33.00  sec   471 MBytes  3953 Mbits/sec  4112   2.39 MBytes       
[  5]  33.00-34.00  sec   471 MBytes  3954 Mbits/sec  4105   1.72 MBytes       
[  5]  34.00-35.00  sec   474 MBytes  3974 Mbits/sec  1043   1.85 MBytes       
[  5]  35.00-36.00  sec   472 MBytes  3964 Mbits/sec  3133   1.91 MBytes       
[  5]  36.00-37.00  sec   474 MBytes  3974 Mbits/sec  2407   2.01 MBytes       
[  5]  37.00-38.00  sec   474 MBytes  3974 Mbits/sec  1983   2.09 MBytes       
[  5]  38.00-39.00  sec   474 MBytes  3974 Mbits/sec  1655   2.21 MBytes       
[  5]  39.00-40.00  sec   469 MBytes  3932 Mbits/sec  5536   1.82 MBytes       
[  5]  40.00-41.00  sec   472 MBytes  3964 Mbits/sec  3216   2.35 MBytes       
[  5]  41.00-42.00  sec   472 MBytes  3964 Mbits/sec  2900   2.45 MBytes       
[  5]  42.00-43.00  sec   469 MBytes  3932 Mbits/sec  2087   2.57 MBytes       
[  5]  43.00-44.00  sec   468 MBytes  3921 Mbits/sec  10083   2.59 MBytes       
[  5]  44.00-45.00  sec   466 MBytes  3911 Mbits/sec  7334   2.62 MBytes       
[  5]  45.00-46.00  sec   468 MBytes  3922 Mbits/sec  6493   2.65 MBytes       
[  5]  46.00-47.00  sec   465 MBytes  3900 Mbits/sec  9241   1.90 MBytes       
[  5]  47.00-48.00  sec   475 MBytes  3984 Mbits/sec  931   2.05 MBytes       
[  5]  48.00-49.00  sec   472 MBytes  3964 Mbits/sec  3002   2.14 MBytes       
[  5]  49.00-50.00  sec   470 MBytes  3941 Mbits/sec  2760   2.21 MBytes       
[  5]  50.00-51.00  sec   474 MBytes  3976 Mbits/sec  3648   2.28 MBytes       
[  5]  51.00-52.00  sec   474 MBytes  3974 Mbits/sec  1791   2.38 MBytes       
[  5]  52.00-53.00  sec   471 MBytes  3953 Mbits/sec  3632   2.45 MBytes       
[  5]  53.00-54.00  sec   472 MBytes  3964 Mbits/sec  2546   2.55 MBytes       
[  5]  54.00-55.00  sec   466 MBytes  3911 Mbits/sec  8270   2.57 MBytes       
[  5]  55.00-56.00  sec   466 MBytes  3911 Mbits/sec  7218   2.62 MBytes       
[  5]  56.00-57.00  sec   468 MBytes  3922 Mbits/sec  5395   2.67 MBytes       
[  5]  57.00-58.00  sec   465 MBytes  3901 Mbits/sec  7103   2.70 MBytes       
[  5]  58.00-59.00  sec   471 MBytes  3953 Mbits/sec  4133   2.76 MBytes       
[  5]  59.00-60.00  sec   472 MBytes  3964 Mbits/sec  2690   2.84 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  27.5 GBytes  3937 Mbits/sec  324226             sender
[  5]   0.00-60.02  sec  27.5 GBytes  3935 Mbits/sec                  receiver

iperf Done.
