Percentage served,Time in ms
0,4.266
1,20.324
2,21.072
3,21.807
4,22.096
5,22.252
6,22.375
7,22.475
8,22.569
9,22.657
10,22.742
11,22.827
12,22.914
13,23.007
14,23.095
15,23.179
16,23.259
17,23.333
18,23.411
19,23.499
20,23.593
21,23.684
22,23.785
23,23.907
24,24.049
25,24.239
26,24.459
27,24.718
28,24.970
29,25.198
30,25.437
31,25.687
32,25.921
33,26.189
34,26.434
35,26.664
36,26.883
37,27.144
38,27.367
39,27.624
40,27.885
41,28.164
42,28.414
43,28.669
44,28.875
45,29.059
46,29.250
47,29.439
48,29.642
49,29.858
50,30.082
51,30.289
52,30.526
53,30.822
54,31.089
55,31.345
56,31.589
57,31.785
58,32.028
59,32.242
60,32.480
61,32.712
62,32.978
63,33.223
64,33.463
65,33.719
66,33.917
67,34.169
68,34.414
69,34.703
70,34.914
71,35.167
72,35.458
73,35.601
74,35.712
75,35.872
76,35.994
77,36.143
78,36.285
79,36.462
80,36.612
81,36.810
82,37.006
83,37.202
84,37.447
85,37.721
86,38.006
87,38.459
88,38.892
89,39.544
90,40.122
91,40.553
92,40.830
93,41.089
94,41.358
95,41.702
96,42.215
97,42.771
98,43.437
99,45.070
100,1264.709
