Percentage served,Time in ms
0,0.742
1,10.912
2,12.725
3,14.409
4,15.798
5,16.813
6,17.698
7,18.583
8,19.309
9,20.096
10,20.807
11,21.490
12,22.152
13,22.717
14,23.311
15,23.881
16,24.389
17,24.882
18,25.381
19,25.784
20,26.215
21,26.653
22,27.062
23,27.406
24,27.723
25,28.002
26,28.245
27,28.463
28,28.660
29,28.853
30,29.023
31,29.192
32,29.355
33,29.498
34,29.631
35,29.765
36,29.904
37,30.038
38,30.171
39,30.301
40,30.429
41,30.559
42,30.686
43,30.809
44,30.939
45,31.066
46,31.193
47,31.316
48,31.436
49,31.563
50,31.689
51,31.807
52,31.931
53,32.044
54,32.161
55,32.272
56,32.386
57,32.500
58,32.614
59,32.726
60,32.840
61,32.963
62,33.085
63,33.210
64,33.336
65,33.463
66,33.593
67,33.724
68,33.862
69,34.010
70,34.171
71,34.335
72,34.502
73,34.677
74,34.871
75,35.088
76,35.304
77,35.521
78,35.724
79,35.913
80,36.110
81,36.322
82,36.510
83,36.685
84,36.872
85,37.053
86,37.247
87,37.440
88,37.648
89,37.863
90,38.083
91,38.305
92,38.533
93,38.800
94,39.116
95,39.462
96,39.995
97,40.758
98,42.372
99,44.493
100,1080.232
