cni    Avg Response Time
../../results/results/raw/interregion/calico           20.923 [ms] (mean)
../../results/results/raw/interregion/calico_vxlan           20.295 [ms] (mean)
../../results/results/raw/interregion/canal           20.403 [ms] (mean)
../../results/results/raw/interregion/cilium           23.205 [ms] (mean)
../../results/results/raw/interregion/flannel           20.418 [ms] (mean)
../../results/results/raw/interregion/kuberouter           20.695 [ms] (mean)
../../results/results/raw/interregion/weavenet           20.488 [ms] (mean)
../../results/results/raw/interregion/calico           78.722 [ms] (mean)
../../results/results/raw/interregion/calico_vxlan           71.045 [ms] (mean)
../../results/results/raw/interregion/canal           71.491 [ms] (mean)
../../results/results/raw/interregion/cilium           44.966 [ms] (mean)
../../results/results/raw/interregion/flannel           74.647 [ms] (mean)
../../results/results/raw/interregion/kuberouter           72.871 [ms] (mean)
../../results/results/raw/interregion/weavenet           36.640 [ms] (mean)
