	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
0	2037	2749	2750	2690	2687	2852	2769
1	2307	3000	3009	2947	2968	3125	2978
2	2307	3040	3040	3009	2978	3114	3072
3	2191	3010	3011	3041	3020	3135	3041
4	2307	2988	2978	2999	3041	3156	3083
5	2296	2988	2999	3030	3020	3114	3020
6	2297	3009	3020	3062	2999	3125	3083
7	2181	3051	3030	3041	2989	3104	3104
8	2286	2988	2988	3062	3051	3114	3073
9	2296	3020	3009	3062	3021	3104	3093
10	2317	2988	2957	3020	3041	3103	3093
11	2296	2967	2967	3072	2989	3062	3062
12	2265	3009	3019	3020	2978	3114	3083
13	2265	2998	3000	3072	2957	3135	3083
14	2170	2937	2967	3051	3041	3125	3083
15	2213	3030	3009	3063	3030	3125	3104
16	2265	3020	3009	3008	3030	3125	3115
17	2296	3020	2999	3053	3083	3020	3072
18	2307	3020	2978	3008	3062	3125	3083
19	2338	2988	3009	3052	3051	3104	3073
20	2307	3029	2988	3041	3040	3115	3104
21	2264	3021	2999	3071	3021	3104	3093
22	2203	3020	3020	3021	2894	3125	3051
23	2108	3030	3020	3009	2999	3083	3083
24	1709	3020	2851	2590	3051	3114	3104
25	1772	3019	2192	2747	3020	3136	2475
26	1835	3000	2317	2024	2852	3125	2328
27	1552	3009	2401	2118	2999	3125	2433
28	1007	3031	2464	2192	3030	3135	2485
29	1038	3009	2475	2254	2978	3135	2558
30	1080	3030	2547	2307	3062	3114	2601
31	1132	2967	2570	2338	2988	3104	2611
32	1153	2998	2569	2360	3009	3093	2653
33	1164	2916	2590	2370	2978	3124	2632
34	1153	2192	2600	2380	2988	3104	2674
35	1164	2296	2663	2433	3020	3114	2695
36	1205	2411	2684	2485	2192	3114	2737
37	1217	2485	2779	2516	1594	3104	2779
38	1269	2516	2789	2601	1667	3083	2842
39	1279	2569	2862	2663	1730	3083	2884
40	1311	2570	2895	2705	1783	3135	2926
41	1342	2611	2946	2716	1783	3104	2988
42	1374	2611	2967	2821	1814	3125	2999
43	1384	2622	3019	2852	1856	3135	3062
44	1437	2674	2979	2915	1898	3135	3104
45	1468	2726	3030	2129	1950	3135	3104
46	1489	2768	3072	2307	2003	3125	3104
47	1552	2160	3041	2443	2045	3125	3104
48	1678	1573	3009	2590	2097	3135	3093
49	1824	1604	3062	2653	1803	3114	3093
50	2003	1678	3040	2737	1647	3146	3093
51	2223	1709	3009	2821	1783	3104	3104
52	2328	1751	3010	2726	1887	3104	3093
53	2254	1772	2999	1667	1971	3103	3104
54	2265	1804	3041	1091	2034	3114	3104
55	2317	1825	3009	1143	2066	3114	3114
56	2233	1898	3031	1206	2108	2789	3093
57	2233	1950	3030	1216	2139	2307	3104
58	2097	2013	2999	1269	2108	2412	3104
59	2150	2024	3030	1321	2139	2495	3103
