0	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
1	2642	45	148	2297	739	18	50
2	253	562	786	3637	52	122	8
3	770	1377	1893	703	940	297	49
4	1677	413	2164	3509	161	2027	49
5	15	362	20	2088	1198	170	774
6	3557	202	140	626	2078	1751	98
7	2024	42	916	2408	3342	2226	1749
8	116	456	2371	1995	2221	572	1490
9	347	1224	2091	1461	2411	45	897
10	1192	257	49	2141	1271	3020	0
11	99	1284	1012	2724	657	734	1028
12	1402	240	280	2285	674	271	878
13	1227	1725	290	1004	186	1025	453
14	746	300	1254	3189	423	252	518
15	513	1656	297	2240	2024	1207	2046
16	2145	1831	202	733	1607	324	898
17	87	27	131	819	2195	2474	501
18	577	310	77	2089	1423	1268	1259
19	1103	978	66	2769	1169	133	405
20	3088	46	1545	2780	2830	1603	2198
21							
22	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0
28	0	644	281	0	0	0	0
29	0	0	315	0	0	0	0
30	0	414	0	0	0	0	0
31	0	0	0	0	0	0	0
32	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0
35	0	518	0	0	0	0	0
36	0	0	0	0	0	0	0
37	0	0	0	0	0	0	0
38	0	470	0	0	0	0	0
39	0	0	0	0	0	0	0
40	0	0	0	0	0	0	0
41	0	0	315	0	0	0	0
42							
43	0	42	0	0	0	0	0
44	0	0	0	0	0	0	0
45	0	0	0	0	0	2	0
46	0	0	0	0	0	0	0
47	8	0	0	0	0	0	0
48	0	0	0	0	0	0	0
49	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0
51	0	0	0	0	0	0	0
52	0	0	0	0	0	0	0
53	0	0	0	0	0	0	0
54	0	0	0	0	0	0	0
55	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0
57	0	0	0	0	0	0	0
58	0	0	0	0	0	0	0
59	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	46	0	0	0	0	0
							
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
							
	1	0	0	0	0	0	0
	0	0	0	0	0	0	0
	1	0	0	0	0	0	0
	0	0	0	0	0	0	0
	1	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
							
	1	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	92	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	92	0	0	0
	0	0	0	0	0	0	0
	0	0	0	74	0	0	0
	0	0	0	0	0	0	0
	0	0	0	62	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	28	0	0	0
							
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	1	0
	0	0	0	0	0	0	0
	2	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
							
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	25	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	72	0	0	0	0
	0	0	0	0	0	0	0
	0	0	18	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	198	0	0	0	0
	0	0	0	0	0	0	0
	0	0	203	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
							
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	49
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
