	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
0	1051	1023	1061	802	988	927	896
1	991	1085	1049	919	1010	897	955
2	950	1103	986	912	968	860	823
3	1069	1056	1027	918	1045	914	930
4	992	1056	1049	922	1056	1023	938
5	1049	1042	1030	922	1049	1023	897
6	1047	950	961	856	1024	926	928
7	1083	958	1038	789	1040	890	967
8	1026	983	944	886	1036	963	899
9	1003	1034	936	913	1012	1014	816
10	1019	927	967	917	1041	879	863
11	1008	1012	908	884	936	973	876
12	1014	983	955	793	1048	878	903
13	1030	1056	1042	914	1008	933	898
14	1067	1049	944	894	1026	996	954
15	923	1018	1013	918	1072	943	936
16	985	1004	949	922	1020	872	977
17	960	1051	966	902	1062	996	1041
18	948	1008	877	902	1026	922	1039
19	1028	1052	980	785	1052	999	1038
20	1009	1044	987	762	1055	999	1030
21	958	1014	887	772	1052	1000	1028
22	995	918	955	834	1053	951	945
23	1032	952	980	789	1021	880	1013
24	1035	1027	964	796	1068	1017	1038
25	1029	1037	937	765	1068	897	959
26	965	1047	940	766	1068	868	962
27	990	1056	937	782	1038	890	1009
28	1021	1020	936	876	999	832	1027
29	1029	1047	953	917	1062	837	934
30	1015	1023	999	898	1019	883	982
31	1030	1066	988	842	887	977	963
32	1021	1048	867	791	867	935	946
33	1026	1086	905	772	937	852	1039
34	1017	1040	921	803	1066	923	1040
35	1023	1073	932	884	1076	934	1026
36	997	1019	969	869	904	1010	1021
37	1020	945	931	902	935	868	1038
38	976	1058	952	921	1028	907	1041
39	987	1085	975	918	1093	964	1016
40	1017	1055	995	844	1104	1014	962
41	914	1084	993	781	1033	1024	1026
42	873	1099	1011	891	1040	977	1000
43	997	1015	989	852	1038	991	931
44	1000	978	1004	791	906	969	943
45	975	1073	987	861	1039	871	1039
46	962	1102	994	908	1086	882	1005
47	893	1102	940	889	1045	937	864
48	977	1096	867	778	965	936	905
49	1029	1003	924	852	1090	1012	968
50	1031	873	847	916	1090	887	963
51	1028	971	859	913	1023	842	985
52	1023	1056	882	907	1102	883	1032
53	1026	1032	862	808	1052	869	1036
54	1030	988	953	926	943	987	1040
55	1020	1042	1045	843	1012	1017	1028
56	983	1002	1039	845	1070	909	1038
57	1012	964	997	811	1070	926	1028
58	1016	1052	949	855	1083	1027	1025
59	931	1043	946	805	1104	1013	1012
