cni    Avg Response Time
../../results/results/raw/interzone/calico           14.971 [ms] (mean)
../../results/results/raw/interzone/calico_vxlan           16.906 [ms] (mean)
../../results/results/raw/interzone/canal           17.132 [ms] (mean)
../../results/results/raw/interzone/cilium           23.890 [ms] (mean)
../../results/results/raw/interzone/flannel           13.242 [ms] (mean)
../../results/results/raw/interzone/kuberouter           15.000 [ms] (mean)
../../results/results/raw/interzone/weavenet           22.164 [ms] (mean)
../../results/results/raw/interzone/calico           57.385 [ms] (mean)
../../results/results/raw/interzone/calico_vxlan           58.593 [ms] (mean)
../../results/results/raw/interzone/canal           58.241 [ms] (mean)
../../results/results/raw/interzone/cilium           47.211 [ms] (mean)
../../results/results/raw/interzone/flannel           53.050 [ms] (mean)
../../results/results/raw/interzone/kuberouter           48.103 [ms] (mean)
../../results/results/raw/interzone/weavenet           46.240 [ms] (mean)
