	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
0	202	9323	134	8431	8028	8165	8942
1	602	10312	0	8538	8863	8512	9822
2	44	10877	45	8701	8647	9205	9638
3	0	10330	45	9254	8938	8437	10001
4	0	10741	0	9157	8229	8661	9497
5	1056	11259	0	8909	9424	9155	10016
6	0	10831	0	9085	8465	9664	10241
7	0	11078	0	9006	8616	9283	9711
8	0	10347	0	9137	7610	9606	9529
9	0	10522	0	8733	8388	9018	9495
10	0	10497	0	9132	8012	8779	9689
11	0	10903	45	9354	8988	8691	9811
12	0	10897	0	9152	7976	9598	9351
13	0	10535	0	9073	8114	9888	9541
14	0	10679	0	8529	8554	9140	9496
15	0	11225	0	9351	8477	9568	9762
16	0	10731	0	8631	9208	9788	9557
17	0	10479	0	8883	9425	10172	10211
18	0	9566	0	8554	8894	9889	9690
19	0	11005	0	7977	8770	8866	9760
20	0	11403	0	8789	8063	9624	9805
21	0	10980	0	9599	8837	9345	9780
22	0	11258	0	9273	8687	9868	9817
23	0	10585	0	8167	8781	9333	9921
24	0	11167	44	8680	8525	9241	9521
25	0	10584	0	9093	8498	7980	9559
26	0	10520	0	8470	8440	9025	10223
27	0	10870	0	8471	8982	9509	9977
28	0	10722	45	9085	8653	9034	9921
29	0	10228	0	9021	9338	9117	9602
30	0	10066	60	8168	8558	8824	9873
31	0	10454	130	8458	8862	9165	9010
32	0	10909	0	9071	9032	9371	9988
33	0	10452	0	8636	8500	9988	9725
34	0	10435	0	9146	8806	9175	10062
35	0	9908	56	8801	8842	8977	9979
36	0	10763	0	9779	9904	8781	9458
37	0	10047	0	8394	9322	9447	9605
38	0	9799	0	8558	9549	9219	9683
39	0	10929	0	9437	9376	8771	9975
40	0	9510	0	8955	10504	8950	9375
41	0	10131	0	8026	10124	9184	10469
42	0	9796	0	8805	9046	9090	9888
43	0	10654	0	8529	9287	8402	10269
44	0	10462	0	9108	9212	8164	9803
45	0	10524	0	8707	9498	8911	10078
46	91	10123	0	7894	8658	8966	9837
47	0	10604	0	7807	8547	8668	9783
48	0	10000	0	9078	8528	8151	9711
49	0	10500	0	8376	8452	9620	9682
50	0	10612	0	8665	8861	8413	9502
51	0	9542	0	8449	8313	8588	9877
52	231	10251	0	8400	8247	8903	8899
53	0	9964	0	8932	7352	8749	10294
54	0	10473	0	8634	7450	8840	10192
55	0	9801	0	8476	7598	9288	9288
56	0	9758	0	8632	8702	9126	9908
57	0	10086	0	8900	8363	9745	9994
58	0	10546	0	8839	8009	9232	9492
59	0	10396	0	9095	8684	8807	10068
