	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
0	1544	1261	1218	1056	1286	1237	1468
1	1576	1256	1216	1048	1286	1219	1514
2	1577	1259	1212	1034	1277	1236	1516
3	1523	1268	1228	1071	1287	1210	1479
4	1556	1259	1227	1059	1277	1240	1507
5	1560	1245	1223	1046	1283	1220	1510
6	1571	1428	1239	1044	1284	1232	1506
7	1556	1612	1207	1048	1275	1218	1445
8	1250	1638	1217	1070	1291	1211	1438
9	1191	1635	1213	1069	1273	1181	1457
10	1217	1623	1214	1045	1278	1214	1454
11	1209	1616	1207	1048	1286	1230	1448
12	1209	1616	1221	1040	1292	1235	1461
13	1215	1605	1212	1054	1286	1234	1500
14	1176	1603	1204	1052	1266	1223	1519
15	1201	1616	1215	1071	1239	1227	1499
16	1236	1604	1205	1057	1274	1202	1494
17	1237	1628	1214	1045	1279	1228	1503
18	1194	1637	1216	1077	1270	1219	1523
19	1211	1642	1220	1073	1277	1217	1515
20	1203	1650	1209	1078	1285	1225	1500
21	1212	1645	1218	1089	1280	1227	1510
22	1189	1643	1211	1070	1284	1224	1516
23	1212	1624	1218	1077	1273	1211	1518
24	1223	1629	1202	1066	1276	1211	1520
25	1192	1640	1221	1036	1276	1222	1500
26	1226	1622	1231	1059	1280	1228	1487
27	1227	1624	1231	1035	1282	1232	1466
28	1217	1627	1223	1033	1288	1228	1458
29	1207	1640	1224	1038	1275	1235	1498
30	1165	1614	1208	1047	1266	1217	1497
31	1194	1603	1230	1043	1280	1235	1522
32	1211	1582	1214	1058	1287	1227	1498
33	1210	1584	1235	1064	1279	1240	1480
34	1177	1493	1222	1040	1274	1225	1505
35	1192	1199	1217	1056	1285	1234	1509
36	1221	1181	1219	1046	1283	1230	1521
37	1217	1221	1205	1050	1272	1231	1519
38	1207	1224	1212	1043	1273	1230	1515
39	1207	1227	1200	1051	1282	1235	1529
40	1196	1241	1212	1057	1272	1228	1524
41	1208	1219	1209	1072	1257	1225	1510
42	1234	1204	1220	1063	1250	1232	1515
43	1216	1218	1223	1070	1249	1212	1495
44	1214	1222	1226	1049	1240	1221	1510
45	1200	1213	1239	1056	1232	1228	1523
46	1217	1206	1243	1058	1243	1225	1225
47	1222	1226	1236	1050	1248	1213	1131
48	1216	1237	1230	1057	1272	1234	1134
49	1196	1233	1226	1055	1254	1220	1142
50	1192	1242	1239	1077	1277	1208	1151
51	1212	1204	1229	1055	1289	1219	1124
52	1213	1255	1228	1047	1282	1227	1144
53	1216	1244	1221	1045	1287	1237	1121
54	1216	1233	1217	1044	1258	1218	1150
55	1226	1241	1250	1045	1261	1231	1158
56	1223	1169	1241	1058	1252	1230	1162
57	1231	1224	1237	1035	1249	1224	1152
58	1212	1245	1212	1059	1243	1224	1149
59	1191	1252	1230	1054	1270	1233	1105
