cni    Avg Response Time
../../results/results/raw/intrazone/calico           17.060 [ms] (mean)
../../results/results/raw/intrazone/calico_vxlan           17.399 [ms] (mean)
../../results/results/raw/intrazone/canal           17.009 [ms] (mean)
../../results/results/raw/intrazone/cilium           25.816 [ms] (mean)
../../results/results/raw/intrazone/flannel           15.270 [ms] (mean)
../../results/results/raw/intrazone/kuberouter           20.352 [ms] (mean)
../../results/results/raw/intrazone/weavenet           17.130 [ms] (mean)
../../results/results/raw/intrazone/calico           53.568 [ms] (mean)
../../results/results/raw/intrazone/calico_vxlan           55.859 [ms] (mean)
../../results/results/raw/intrazone/canal           56.544 [ms] (mean)
../../results/results/raw/intrazone/cilium           50.810 [ms] (mean)
../../results/results/raw/intrazone/flannel           54.376 [ms] (mean)
../../results/results/raw/intrazone/kuberouter           41.747 [ms] (mean)
../../results/results/raw/intrazone/weavenet           33.465 [ms] (mean)
