	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
0	15450	14035	19159	8664	14339	8816	12558
1	19364	15343	20041	8829	14929	8336	13495
2	19806	14575	20119	9039	15532	8280	13589
3	19372	14928	20119	8934	15551	8152	13673
4	20026	15336	18932	8976	14363	9641	13611
5	19378	16062	20070	8955	15111	9620	13212
6	20081	20487	19324	8777	15016	9622	13894
7	20036	16507	20352	8787	14366	9442	13721
8	20012	15101	19865	8984	14939	9632	14227
9	18441	15180	19745	8850	14710	8834	13759
10	18382	14703	20077	8820	14993	8561	14014
11	18224	15069	20244	8911	15274	8351	15061
12	15307	15253	20501	8978	15987	8274	15222
13	14787	14810	20434	9487	15098	8472	15772
14	15121	20165	20314	9093	15440	8504	14930
15	14185	18365	19972	8858	15466	8326	15251
16	14514	15667	20010	8913	16052	8410	14718
17	13474	15089	20010	8915	14963	8462	15519
18	15024	15781	19751	9037	15956	8400	14218
19	15533	14743	19585	8926	15125	8587	14953
20	15456	16008	20327	9039	15240	8452	15687
21	16909	19338	19975	9038	19884	8379	20814
22	18313	20110	20408	8975	20407	8640	15844
23	18938	19538	20285	8788	16233	8493	15592
24	18764	19281	19740	9060	16525	3825	15445
25	19726	19203	19162	8923	15770	6085	15929
26	16395	15225	19345	8934	16697	7849	16401
27	17751	16085	20165	8964	15800	7868	15654
28	18282	15140	19641	8944	15258	7927	16367
29	17219	15528	20159	8904	15703	8244	16385
30	17688	16110	20095	8850	16424	7978	15741
31	18153	15653	20005	8913	15950	8222	16222
32	18297	14850	20727	8829	15505	8252	15772
33	17442	15601	21667	8850	15939	8031	15297
34	17246	15268	18629	8702	14888	8304	15699
35	17493	12675	16074	8873	15408	8452	15568
36	16809	10540	16132	8798	12361	8158	15216
37	8473	14481	16795	8860	16032	8147	15758
38	16347	14960	15722	8954	15553	8421	15345
39	17715	15844	16357	8735	15434	8241	15664
40	18377	18993	14480	8850	16043	8357	15540
41	18083	20696	14000	8891	15885	8157	15339
42	18897	20419	14680	8756	15757	8116	15554
43	17682	19450	14691	8903	20576	8210	15367
44	16967	22880	19446	8849	19801	8243	15559
45	17784	23172	19960	8870	20483	8219	16607
46	16254	21692	19910	8744	20807	7991	15876
47	17127	21659	19357	8738	20923	8294	16063
48	19266	22260	20088	8136	20605	8404	15886
49	22621	22495	19746	8798	20299	8521	16240
50	19439	20109	17409	8682	19774	8620	16652
51	18221	19914	15457	8680	16504	8394	16118
52	20783	17606	19052	8799	15519	8226	15119
53	22093	18888	14398	8734	15595	8347	15602
54	23261	19004	19947	8925	16587	8168	16036
55	22333	19292	19636	8861	15773	8305	16315
56	20810	18397	21319	8744	16858	8316	16190
57	20470	18250	22242	8829	17102	8557	15548
58	20693	16940	22851	8778	16455	8504	16025
59	20709	18354	22669	8735	15350	8334	15939
