0	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
1	1027	1029	842	891	888	352	875
2	1010	1028	828	849	883	348	916
3	1020	1027	832	820	884	350	860
4	984	1037	825	846	887	348	832
5	1013	1029	820	754	913	350	866
6	1015	1025	815	856	885	357	886
7	1020	1018	819	809	896	348	907
8	970	1037	815	786	886	347	850
9	1012	1031	822	892	877	345	863
10	992	1027	842	918	852	345	833
11	998	1030	838	779	889	360	828
12	1015	1022	828	848	884	345	763
13	1011	1017	828	840	849	346	811
14	1013	1018	827	762	865	348	889
15	1022	941	841	878	886	348	767
16	1027	1029	838	809	889	347	744
17	1014	999	813	577	891	348	674
18	891	1045	841	841	908	346	875
19	1011	1025	816	775	883	351	864
20	1022	1023	820	841	890	350	816
21	Mbits/sec	Mbits/sec	Mbits/sec	Mbits/sec	Mbits/sec	Mbits/sec	Mbits/sec
22	909	999	831	797	868	344	821
23	903	995	824	793	870	345	818
24	902	992	828	795	869	344	821
25	902	993	823	797	868	344	823
26	904	995	825	786	869	345	821
27	901	995	825	786	869	344	816
28	903	1001	826	801	872	344	824
29	904	1007	827	797	869	344	822
30	908	1016	827	839	870	349	818
31	901	991	827	849	868	350	822
32	905	1023	823	797	865	340	820
33	907	1010	824	797	864	347	822
34	906	999	826	786	868	351	822
35	907	993	821	801	870	344	820
36	902	998	828	828	870	345	819
37	902	999	824	786	874	348	821
38	902	990	825	726	868	347	822
39	899	998	820	797	867	348	823
40	901	996	822	786	867	344	820
41	904	994	823	797	867	342	819
42	Mbits/sec	Mbits/sec	Mbits/sec	Mbits/sec	Mbits/sec	Mbits/sec	Mbits/sec
43	984	1003	791	776	860	337	819
44	988	1006	792	781	862	341	821
45	988	1002	796	779	863	337	819
46	988	1008	792	776	861	339	817
47	988	1005	794	777	859	334	821
48	986	1004	795	786	857	340	822
49	989	998	793	781	858	341	818
50	986	1009	792	776	860	342	820
51	982	1003	791	776	858	340	823
52	990	1005	789	776	861	337	820
53	988	1004	798	776	864	343	819
54	982	998	795	786	862	340	818
55	984	1001	792	786	862	338	819
56	985	1006	797	786	861	339	819
57	989	1008	791	776	861	339	820
58	989	1002	793	786	861	339	819
59	992	1008	794	753	862	338	815
	989	1003	795	776	862	338	818
	990	1002	795	776	861	337	818
	985	1006	796	776	861	341	819
	Mbits/sec	Mbits/sec	Mbits/sec	Mbits/sec	Mbits/sec	Mbits/sec	Mbits/sec
	989	1013	827	808	874	342	802
	990	1010	823	805	870	341	802
	987	1017	821	803	871	342	803
	989	1013	823	808	873	348	801
	983	1014	821	802	872	347	802
	989	1011	821	797	876	337	801
	987	1016	825	805	878	343	798
	987	1011	822	797	875	345	802
	988	1020	828	808	873	341	799
	985	1017	828	808	876	345	802
	983	1018	823	808	871	340	803
	990	1020	825	797	876	342	803
	990	1019	824	797	870	342	803
	985	1011	822	797	874	347	801
	984	1014	826	808	871	345	804
	985	1014	822	797	873	342	803
	986	1013	822	796	871	342	804
	987	1019	828	808	872	345	801
	984	1017	821	797	871	287	802
	985	1015	822	808	871	342	801
	Mbits/sec	Mbits/sec	Mbits/sec	Mbits/sec	Mbits/sec	Mbits/sec	Mbits/sec
	978	1017	811	776	857	344	819
	976	1016	813	779	859	345	816
	978	1015	812	781	856	343	820
	978	1013	816	776	859	338	820
	982	1014	815	786	861	337	818
	980	1019	816	786	857	340	818
	978	1018	811	782	853	339	822
	978	1013	814	786	860	337	819
	977	1012	808	776	861	340	822
	977	1016	814	776	857	339	817
	983	1015	811	776	859	333	819
	978	1014	812	786	857	338	818
	978	1012	816	786	860	342	817
