	calico	calico_vxlan	canal	cilium	flannel	kuberouter	weavenet
0	194770	108752	167260	184155	246811	127171	209835
1	172820	96800	171760	158357	240467	121060	212589
2	171930	98580	171040	150760	218503	122242	229602
3	172300	100480	171880	148265	190880	124600	239000
4	174140	99120	171580	144240	192000	124540	174236
5	173860	99480	170020	150320	190340	124760	173200
6	171408	96600	171640	149440	189780	125100	169420
7	173347	96952	169200	151840	189441	124560	170540
8	171880	98980	171860	150600	188360	125080	173100
9	171600	98500	171280	151740	189340	124960	174040
10	171920	98080	168280	150920	189180	124960	172580
11	168600	95920	170380	151580	187820	124340	170400
12	171160	99960	171500	152080	188020	123280	169740
13	173020	98040	172860	151760	188646	124960	168380
14	173660	99340	171000	151420	186220	124518	168220
15	173700	99620	166680	151060	189000	124660	169440
16	151520	98080	169060	151220	188958	124100	167820
17	133460	96660	169520	149160	189180	125140	172760
18	133200	98620	172080	152320	189725	125060	171960
19	132740	94800	170500	151700	190740	125360	164780
20	131280	95960	171200	151580	192120	125340	172380
21	132740	93360	170960	150960	191072	125640	172180
22	131300	97720	171780	149980	191280	125180	161580
23	132400	95560	170840	148420	190060	124480	169860
24	133620	96840	172240	148780	191314	124900	172640
25	131540	98060	169180	149160	191180	125000	172580
26	133540	100500	173900	149960	191360	124580	171700
27	133160	94360	172354	150000	191000	125500	171620
28	133400	93820	173040	150020	190932	125000	167900
29	134220	93740	173540	152400	191270	125600	171320
30	132740	94280	172520	151057	190480	124120	165840
31	133480	95460	171380	151240	156603	123620	170760
32	132420	96360	173500	151640	141340	123060	173520
33	134140	97480	133800	151600	141800	115260	169540
34	134120	97400	131300	150540	140200	122400	168160
35	133440	99480	127520	150680	138700	123960	172720
36	131980	97720	130960	149340	141420	124780	172960
37	130740	97840	131080	140480	139240	125360	169820
38	130060	97500	130300	150820	140860	125440	170220
39	128740	97860	130400	150300	143920	124340	170640
40	134163	94960	128800	132522	143260	124560	162500
41	131480	97940	127940	132360	142860	124440	172120
42	131540	97740	128560	134140	143000	124700	170560
43	130900	95100	129600	133660	142700	124800	171740
44	130780	95920	125780	133160	144560	125160	163920
45	130920	122054	125300	133497	144740	125220	171200
46	129880	127520	130200	133040	142360	125020	169320
47	131140	125986	152740	133760	142780	124900	168640
48	134060	128620	169120	132820	142000	124320	166960
49	133012	127920	169840	129020	142560	122380	152456
50	134000	128740	171860	130500	140620	123700	170580
51	133580	96320	170340	131300	141680	124380	170980
52	133260	99500	170921	131120	141800	125020	171134
53	133440	96920	173260	131360	139900	123980	170700
54	133460	115980	173480	131120	140720	124460	167960
55	133200	99940	172260	130600	141420	124740	171300
56	132160	99960	171240	122560	140940	124960	157160
57	134040	96940	168800	120600	141080	125200	170760
58	134720	99400	171040	133380	142120	124873	148380
59	133660	100700	171520	129540	144340	125100	173580
